stableKey,exerciseName,sourceRowOrder,classOrder,coreClass,directTarget,taxonomyFlag,inventorySnapshotMovementPattern,inventorySnapshotStabilityDemand,sourceEquipment,sourceCommit,classificationReason,evidenceGroup,evidenceApplicability,evidenceUrl,confidence,reviewStatus
dumbbell_woodchop,덤벨 우드찹,28,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
landmine_rotation,랜드마인 좌우 회전,220,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,MODERATE,LANDMINE,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
med_ball_rotational_scoop_toss,메디신볼 로테이셔널 스쿱 토스,224,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|THROW,HIGH,MEDICINE_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
med_ball_rotational_slam,메디신볼 회전 아래로 슬램,225,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|THROW,HIGH,MEDICINE_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
medicine_ball_rotational_throw,메디신볼 회전 옆으로 던지기,226,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|THROW,HIGH,MEDICINE_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
medicine_ball_three_step_acceleration_throw,메디신볼 3스텝 가속 던지기,227,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|STEP|THROW,HIGH,MEDICINE_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
medicine_ball_three_step_deceleration_throw,메디신볼 3스텝 감속 던지기,228,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|STEP|THROW,HIGH,MEDICINE_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
vipr_chop,바이퍼 회전 아래로,238,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,VIPR,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
vipr_rotational_lift,바이퍼 회전 위로,239,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,VIPR,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
vipr_rotational_press_out,바이퍼 로테이셔널 프레스아웃,240,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION,HIGH,VIPR,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
vipr_step_and_rotate,바이퍼 스텝 앤 로테이트,241,1,DIRECT,ROTATION_GENERATION,,TRUNK_ROTATION|STEP,HIGH,VIPR,532d2343cafd9e54924dc52350c6e108893b4b07,운동 과제 자체가 몸통 회전력 생성/전달을 훈련,ROTATION,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19826303/ | https://pubmed.ncbi.nlm.nih.gov/37721721/,HIGH,APPROVED_DRAFT
ex_284ecca6,슈퍼맨,44,1,DIRECT,TRUNK_EXTENSION,OUTSIDE_USER_3_PRIMARY_TARGETS,TRUNK_EXTENSION,MODERATE,,532d2343cafd9e54924dc52350c6e108893b4b07,몸통 신전근 기능이 직접 훈련 과제,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,MEDIUM,REVIEW_TARGET_TAXONOMY
ex_644e0f9d,V업,79,1,DIRECT,TRUNK_FLEXION,OUTSIDE_USER_3_PRIMARY_TARGETS,TRUNK_FLEXION,MODERATE,,532d2343cafd9e54924dc52350c6e108893b4b07,몸통 굴곡/골반-흉곽 제어가 직접 훈련 과제,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,MEDIUM,REVIEW_TARGET_TAXONOMY
ex_a345e30b,캡틴체어 레그 레이즈,122,1,DIRECT,TRUNK_FLEXION,OUTSIDE_USER_3_PRIMARY_TARGETS,TRUNK_FLEXION,MODERATE,CAPTAINS_CHAIR,532d2343cafd9e54924dc52350c6e108893b4b07,몸통 굴곡/골반-흉곽 제어가 직접 훈련 과제,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,MEDIUM,REVIEW_TARGET_TAXONOMY
ex_b3f447be,행잉 레그 레이즈,140,1,DIRECT,TRUNK_FLEXION,OUTSIDE_USER_3_PRIMARY_TARGETS,TRUNK_FLEXION,MODERATE,PULL_UP_BAR,532d2343cafd9e54924dc52350c6e108893b4b07,몸통 굴곡/골반-흉곽 제어가 직접 훈련 과제,DIRECT_CORE,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/24149153/,MEDIUM,REVIEW_TARGET_TAXONOMY
barbell_back_squat,스쿼트,4,2,HIDDEN_HIGH,,,SQUAT,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,HIGH,APPROVED_DRAFT
barbell_deadlift,데드리프트,6,2,HIDDEN_HIGH,,,HINGE,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,HIGH,APPROVED_DRAFT
barbell_romanian_deadlift,루마니안 바벨 데드리프트,9,2,HIDDEN_HIGH,,,HINGE,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,HIGH,APPROVED_DRAFT
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,25,2,HIDDEN_HIGH,,,HINGE,MODERATE,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,HIGH,APPROVED_DRAFT
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,26,2,HIDDEN_HIGH,,,HINGE,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,ANALOGICAL_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,MEDIUM,REVIEW_RECOMMENDED
ex_1a4858d7,농구,32,2,HIDDEN_HIGH,,,,HIGH,BASKETBALL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_1a4bbdcf,축구,33,2,HIDDEN_HIGH,,,,HIGH,SOCCER_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_2f3b56d0,테니스,48,2,HIDDEN_HIGH,,,,HIGH,TENNIS_BALL|TENNIS_RACKET,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_30a0e9aa,원암 덤벨 로우,49,2,HIDDEN_HIGH,,,HORIZONTAL_PULL,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,ROW,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19197209/ | https://pubmed.ncbi.nlm.nih.gov/26134664/,HIGH,APPROVED_DRAFT
ex_32219f7a,오버헤드 프레스,51,2,HIDDEN_HIGH,,,VERTICAL_PUSH,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,OHP,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/21877146/,HIGH,APPROVED_DRAFT
ex_389e0556,원암 덤벨 벤치프레스,58,2,HIDDEN_HIGH,,,HORIZONTAL_PUSH,HIGH,BENCH|DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,BENCH,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/25031673/,HIGH,APPROVED_DRAFT
ex_3c3692aa,케이블 원암 로우,60,2,HIDDEN_HIGH,,,HORIZONTAL_PULL,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,ROW,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19197209/ | https://pubmed.ncbi.nlm.nih.gov/26134664/,HIGH,APPROVED_DRAFT
ex_3f184ef9,버피,63,2,HIDDEN_HIGH,,,HORIZONTAL_PUSH|JUMP|SQUAT,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_40fa57be,원암 케이블 하이 로우,64,2,HIDDEN_HIGH,,,HORIZONTAL_PULL,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,ROW,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19197209/ | https://pubmed.ncbi.nlm.nih.gov/26134664/,HIGH,APPROVED_DRAFT
ex_73b0b63f,아처 푸시업,94,2,HIDDEN_HIGH,,,HORIZONTAL_PUSH,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,PUSHUP,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18362038/ | https://pubmed.ncbi.nlm.nih.gov/18579905/ | https://pubmed.ncbi.nlm.nih.gov/16540847/,HIGH,APPROVED_DRAFT
ex_7404067c,케틀벨 스윙,95,2,HIDDEN_HIGH,,,HINGE|SWING,MODERATE,KETTLEBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_7814843a,원암 덤벨 숄더프레스,99,2,HIDDEN_HIGH,,,VERTICAL_PUSH,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,OHP,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/21877146/,HIGH,APPROVED_DRAFT
ex_7ce96a7a,프론트풋 엘리베이티드 스플릿 스쿼트,101,2,HIDDEN_HIGH,,,LUNGE,HIGH,BOX_STEP|DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_85f12271,원레그 박스 스쿼트,104,2,HIDDEN_HIGH,,,SQUAT,HIGH,BENCH|BOX_STEP,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_8e4bf08e,Yates Row,109,2,HIDDEN_HIGH,,,HORIZONTAL_PULL,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_91d8430b,30초 반복 스매시 테스트,112,2,HIDDEN_HIGH,,,TRUNK_ROTATION|STRIKE,MODERATE,BADMINTON_RACKET|SHUTTLECOCKS,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_91f6958d,터키시 겟업,113,2,HIDDEN_HIGH,,,LUNGE,HIGH,KETTLEBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_9f283612,원암 인클라인 덤벨 프레스,118,2,HIDDEN_HIGH,,,HORIZONTAL_PUSH,HIGH,BENCH|DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,BENCH,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/25031673/,HIGH,APPROVED_DRAFT
ex_a611010d,코사크 스쿼트,129,2,HIDDEN_HIGH,,,SQUAT,HIGH,KETTLEBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_a8385c4a,코펜하겐 플랭크,133,2,HIDDEN_HIGH,,,TRUNK_BRACE,HIGH,BENCH,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_aca9d312,러닝 풋살,137,2,HIDDEN_HIGH,,,,HIGH,SOCCER_BALL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_ae9ecdbc,배드민턴,138,2,HIDDEN_HIGH,,,,HIGH,BADMINTON_RACKET|SHUTTLECOCKS,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_badminton_lesson,배드민턴 레슨,146,2,HIDDEN_HIGH,,,,HIGH,BADMINTON_RACKET|SHUTTLECOCKS,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_c1bf2aa8,안세영 참고 고강도 랠리 풋워크,150,2,HIDDEN_HIGH,,,GAIT|STEP,HIGH,SHUTTLECOCKS,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_c5043892,프론트 스쿼트,154,2,HIDDEN_HIGH,,,SQUAT,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,SQUAT_DEADLIFT,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/18076231/ | https://pubmed.ncbi.nlm.nih.gov/18296961/ | https://pubmed.ncbi.nlm.nih.gov/19054687/,HIGH,APPROVED_DRAFT
ex_c536edc2,원암 케이블 숄더프레스,155,2,HIDDEN_HIGH,,,VERTICAL_PUSH,HIGH,CABLE,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,OHP,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/21877146/,HIGH,APPROVED_DRAFT
ex_d67e5761,피스톨 스쿼트,168,2,HIDDEN_HIGH,,,SQUAT,HIGH,,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
ex_de46b7f6,바벨 로우,174,2,HIDDEN_HIGH,,,HORIZONTAL_PULL,MODERATE,BARBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,ROW,CLOSE_EXERCISE_CLASS,https://pubmed.ncbi.nlm.nih.gov/19197209/ | https://pubmed.ncbi.nlm.nih.gov/26134664/,HIGH,APPROVED_DRAFT
ex_e0b1e364,원암 덤벨 RDL,178,2,HIDDEN_HIGH,,,HINGE,HIGH,DUMBBELL,532d2343cafd9e54924dc52350c6e108893b4b07,코어가 직접 목표는 아니지만 몸통 강성/토크 제어/힘 전달이 수행의 주요 제약,MECHANICS_INFERENCE,MECHANICS_INFERENCE,,MEDIUM,REVIEW_RECOMMENDED
