manualRowNo,exerciseName,stableKey,estimatedMovementFamily,estimatedFamilyConfidence,manualReviewReasons,sourceIdIssue,highAxialPlyometricDecelerationConflict,automaticFixPossible,myRowReviewJudgement,myFamilyJudgement,mySuggestedFamilyOrActionFamily,mySourceIssueJudgement,myPriority,myRecommendedAction,myComment
11,덤벨 컬,ex_281347da,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
12,덤벨 킥백,ex_da56a4fe,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
13,덤벨 풀오버,ex_708e64ce,PULLOVER_LAT_CHEST_ACCESSORY_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,PULLOVER_LAT_CHEST_ACCESSORY_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
14,덤벨 프로네이션/수피네이션,ex_f6703b06,FOREARM_GRIP_ACCESSORY_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,FOREARM_GRIP_ACCESSORY_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
15,데드리프트,barbell_deadlift,DEADLIFT_HINGE_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,DEADLIFT_HINGE_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
16,등받이 없는 덤벨 시티드 숄더프레스,ex_bb4b4276,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
17,딥스,ex_6463edad,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,세부분리 필요,DIP_COMPOUND_PUSH_REVIEW,해당 없음,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,가슴/삼두 복합 푸시로 현재 family는 대체로 가능하지만 bench press 계열 자동값은 그대로 쓰면 안 된다.
18,라잉 트라이셉스 익스텐션,ex_d20b7487,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
19,래터럴 런지,ex_b4b198de,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
20,랫풀다운,ex_dc9e5953,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
21,런지,ex_64644b5e,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
22,레그 프레스,ex_ab468462,LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS,해당 없음,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
23,로프 해머 컬,ex_c1a81cb2,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
24,루마니안 데드리프트,ex_d2bb7946,DEADLIFT_HINGE_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,DEADLIFT_HINGE_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
25,리닝 래터럴 레이즈,ex_70f19bf,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
26,리버스 런지,ex_c8bcf3ce,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
27,리버스 리스트 컬,ex_8e18b02a,FOREARM_GRIP_ACCESSORY_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,FOREARM_GRIP_ACCESSORY_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
28,리버스 컬,ex_dd2f732e,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
29,리어델트 케이블 플라이,ex_7deabeba,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source 검토 적절,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
30,리어델트 플라이,ex_7176cbee,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source 검토 적절,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
31,리어풋 엘리베이티드 스플릿 스쿼트,ex_bb728af2,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
32,링 로우,ex_282a9d87,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
33,마운틴 클라이머,ex_a9b52886,CARDIO_RECORDS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:B_ACSM_2026_PMID41843416,NO,PARTIAL,수동검토 적절,세부분리 필요,BODYWEIGHT_CONDITIONING_CORE_REVIEW,source 검토 적절,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,CARDIO_RECORDS만으로는 코어/컨디셔닝 성격이 누락될 수 있다.
34,머신 숄더프레스,ex_4aa3725a,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
35,메도우즈 로우,ex_f459ad2a,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
36,바벨 로우,ex_de46b7f6,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
37,밴드 외회전,ex_e8ff8cfa,EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
38,슈퍼맨,ex_284ecca6,POSTERIOR_CHAIN_LOW_LOAD_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,POSTERIOR_CHAIN_LOW_LOAD_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
39,스미스 머신 런지,ex_1052e9fa,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
40,스미스 머신 스쿼트,ex_fa3416f6,SQUAT_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,SQUAT_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
41,스캡 풀업,ex_e1894690,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
42,스쿼트,barbell_back_squat,SQUAT_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,SQUAT_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
43,스탠딩 카프 레이즈,ex_bd072cd,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다.
44,스트레이트암 풀다운,ex_ca5cce66,FACE_PULL_LOWER_TRAP_SERRATUS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,수정 필요,LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY_REVIEW,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,현재 FACE_PULL/SCAPULAR 계열은 부정확하다. 광배근/어깨신전 보조 또는 풀오버류로 분리해야 한다.
45,스플릿 스쿼트,ex_f2a79d37,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
46,시티드 원암 케이블 로우,ex_a76f20b6,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
