"correctionId","seedId","reportedMetrics","exerciseConditions","evidenceRelation","evidenceRelationReviewStatus","publicationIdentityStatus","publicationIntegrityStatus","rationale","version"
"C4B1_SEM_080","TISSUE_MTC_SEED_080","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Achilles force derived from ankle moment and tendon geometry is internal-model evidence pending validation review.","1.0.0"
"C4B1_SEM_081","TISSUE_MTC_SEED_081","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Hopping tendon force combines in vivo imaging with modeled force derivation; validation review remains pending.","1.0.0"
"C4B1_SEM_087","TISSUE_MTC_SEED_087","","","VALIDATED_INTERNAL_MODEL","INTERNAL_MODEL_VALIDATION_PENDING","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Landing Achilles load is modeled from biomechanics and requires validation review.","1.0.0"
"C4B1_SEM_094","TISSUE_MTC_SEED_094","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","In vitro inversion study is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_096","TISSUE_MTC_SEED_096","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Cadaveric ligament-force study is mechanism evidence.","1.0.0"
"C4B1_SEM_105","TISSUE_MTC_SEED_105","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Forced external-rotation syndesmosis experiment is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_106","TISSUE_MTC_SEED_106","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Ligament-sectioning experiment is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_107","TISSUE_MTC_SEED_107","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Experimental syndesmosis-instability study is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_108","TISSUE_MTC_SEED_108","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Cadaver ultrasound study is mechanism evidence, not healthy exercise-load evidence.","1.0.0"
"C4B1_SEM_114","TISSUE_MTC_SEED_114","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Spring-ligament sectioning study is cadaveric mechanism evidence.","1.0.0"
"C4B1_SEM_115","TISSUE_MTC_SEED_115","","","CADAVERIC_MECHANISM","RECLASSIFIED","NCBI_BIBLIOGRAPHY_VERIFIED","NO_ADVERSE_NOTICE_IN_NCBI_METADATA_AS_OF_2026_07_15","Simulated acquired-flatfoot reconstruction study is cadaveric mechanism evidence.","1.0.0"
