"stableKey","scope","displayNameKo","anatomicalLocationKo","primaryFunctionsKo","commonLoadContextsKo","shortDescriptionKo","metadataVersion"
"lu_45688de60a","LOAD_UNIT","천장관절 복합체","골반환·천장 복합체 안의 천장관절 복합체","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어|힘을 인접 부위로 전달","B-스탠스 RDL|덤벨 스텝업|래터럴 런지|런지","천장관절 복합체: 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어, 힘을 인접 부위로 전달 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_0e8a3f133f","LOAD_UNIT","천장 인대 복합체","골반환·천장 복합체 안의 천장 인대 복합체","인장 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","B-스탠스 RDL|덤벨 스텝업|래터럴 런지|런지","천장 인대 복합체: 인장 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_c2a3d691c4","LOAD_UNIT","치골결합 섬유연골 복합체","골반환·천장 복합체 안의 치골결합 섬유연골 복합체","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","래터럴 런지|힙 어덕션|힙 어브덕션|6방향 랜덤 콕줍기","치골결합 섬유연골 복합체: 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_a9651bd8d7","LOAD_UNIT","고관절","고관절 복합체 안의 고관절","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","B-스탠스 RDL|글루트 브릿지|덤벨 루마니안 데드리프트|덤벨 스텝업","고관절: 관절 접촉 압력을 분산, 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_50d1389a95","LOAD_UNIT","고관절 관절낭·인대 복합체","고관절 복합체 안의 고관절 관절낭·인대 복합체","인장 부하를 전달|비틀림 부하를 제어|관절 끝 범위를 안정화","덤벨 스텝업|래터럴 런지|런지|레그 프레스","고관절 관절낭·인대 복합체: 인장 부하를 전달, 비틀림 부하를 제어, 관절 끝 범위를 안정화 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_27b4a0df1d","LOAD_UNIT","근위 햄스트링건 복합체","고관절 복합체 안의 근위 햄스트링건 복합체","인장 부하를 전달|신장 부하에 대응|빠른 신장 부하에 대응","B-스탠스 RDL|글루트 브릿지|덤벨 루마니안 데드리프트|데드리프트","근위 햄스트링건 복합체: 인장 부하를 전달, 신장 부하에 대응, 빠른 신장 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_a7dd63adb6","LOAD_UNIT","대둔근건 복합체","고관절 복합체 안의 대둔근건 복합체","인장 부하를 전달|힘을 인접 부위로 전달","B-스탠스 RDL|글루트 브릿지|덤벨 루마니안 데드리프트|덤벨 스텝업","대둔근건 복합체: 인장 부하를 전달, 힘을 인접 부위로 전달 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_348ac6b7a6","LOAD_UNIT","중둔근·소둔근건 복합체","고관절 복합체 안의 중둔근·소둔근건 복합체","인장 부하를 전달|관절과 분절을 안정화|압박 부하를 전달","B-스탠스 RDL|덤벨 스텝업|래터럴 런지|런지","중둔근·소둔근건 복합체: 인장 부하를 전달, 관절과 분절을 안정화, 압박 부하를 전달 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_36ba10a736","LOAD_UNIT","내전근건 복합체","고관절 복합체 안의 내전근건 복합체","인장 부하를 전달|신장 부하에 대응|비틀림 부하를 제어","래터럴 런지|힙 어덕션|힙 어브덕션|6방향 랜덤 콕줍기","내전근건 복합체: 인장 부하를 전달, 신장 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_9462525798","LOAD_UNIT","대퇴직근 근위건 복합체","고관절 복합체 안의 대퇴직근 근위건 복합체","인장 부하를 전달|신장 부하에 대응|빠른 신장 부하에 대응","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","대퇴직근 근위건 복합체: 인장 부하를 전달, 신장 부하에 대응, 빠른 신장 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_cd23e2d8c0","LOAD_UNIT","장요근건 복합체","고관절 복합체 안의 장요근건 복합체","인장 부하를 전달|반복 활주를 지지|신장 부하에 대응","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","장요근건 복합체: 인장 부하를 전달, 반복 활주를 지지, 신장 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_90281b5483","LOAD_UNIT","대퇴근막장근·장경인대 근위복합체","고관절 복합체 안의 대퇴근막장근·장경인대 근위복합체","인장 부하를 전달|압박 부하를 전달|힘을 인접 부위로 전달","힙 어브덕션|6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트","대퇴근막장근·장경인대 근위복합체: 인장 부하를 전달, 압박 부하를 전달, 힘을 인접 부위로 전달 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_bf3f500760","LOAD_UNIT","경골대퇴관절(TFJ)","경골대퇴 복합체 안의 경골대퇴관절(TFJ)","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","경골대퇴관절(TFJ): 관절 접촉 압력을 분산, 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_9a06d0adb2","LOAD_UNIT","슬개대퇴관절(PFJ)","슬개대퇴 복합체 안의 슬개대퇴관절(PFJ)","관절 접촉 압력을 분산|압박 부하를 전달","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","슬개대퇴관절(PFJ): 관절 접촉 압력을 분산, 압박 부하를 전달 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_acc0225b21","LOAD_UNIT","무릎 반월상연골 복합체","경골대퇴 복합체 안의 무릎 반월상연골 복합체","압박 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","무릎 반월상연골 복합체: 압박 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_f4005dd228","LOAD_UNIT","대퇴사두근건","슬개대퇴 복합체 안의 대퇴사두근건","인장 부하를 전달|빠른 신장 부하에 대응","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","대퇴사두근건: 인장 부하를 전달, 빠른 신장 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_d7b54824bb","LOAD_UNIT","슬개건","슬개대퇴 복합체 안의 슬개건","인장 부하를 전달|빠른 신장 부하에 대응","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","슬개건: 인장 부하를 전달, 빠른 신장 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_9b1d33a6fa","LOAD_UNIT","원위 내측 햄스트링·박근건 복합체","경골대퇴 복합체 안의 원위 내측 햄스트링·박근건 복합체","인장 부하를 전달|관절과 분절을 안정화|비틀림 부하를 제어","레그 컬|리버스 노르딕 컬|스탠딩 레그 컬|싱글 레그 레그 컬","원위 내측 햄스트링·박근건 복합체: 인장 부하를 전달, 관절과 분절을 안정화, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_6079674d30","LOAD_UNIT","원위 대퇴이두근건","경골대퇴 복합체 안의 원위 대퇴이두근건","인장 부하를 전달|관절과 분절을 안정화|비틀림 부하를 제어","레그 컬|리버스 노르딕 컬|스탠딩 레그 컬|싱글 레그 레그 컬","원위 대퇴이두근건: 인장 부하를 전달, 관절과 분절을 안정화, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_3d242daa59","LOAD_UNIT","전방십자인대(ACL)","경골대퇴 복합체 안의 전방십자인대(ACL)","인장 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","전방십자인대(ACL): 인장 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_7d200f36f3","LOAD_UNIT","후방십자인대(PCL)","경골대퇴 복합체 안의 후방십자인대(PCL)","인장 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|레그 익스텐션","후방십자인대(PCL): 인장 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_ff22c06225","LOAD_UNIT","내측측부인대(MCL)","경골대퇴 복합체 안의 내측측부인대(MCL)","인장 부하를 전달|전단 부하에 대응|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|리버스 런지","내측측부인대(MCL): 인장 부하를 전달, 전단 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_97b28d1cec","LOAD_UNIT","외측측부인대·후외측 복합체","경골대퇴 복합체 안의 외측측부인대·후외측 복합체","인장 부하를 전달|내반 부하를 제어|비틀림 부하를 제어","덤벨 스텝업|래터럴 런지|런지|리버스 런지","외측측부인대·후외측 복합체: 인장 부하를 전달, 내반 부하를 제어, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_6de10a05a1","LOAD_UNIT","거퇴관절","발목·후족부 복합체 안의 거퇴관절","관절 접촉 압력을 분산|압박 부하를 전달|전단 부하에 대응","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","거퇴관절: 관절 접촉 압력을 분산, 압박 부하를 전달, 전단 부하에 대응 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_5d174b60fa","LOAD_UNIT","거골하관절","발목·후족부 복합체 안의 거골하관절","관절 접촉 압력을 분산|발목 안팎번짐을 제어|비틀림 부하를 제어","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","거골하관절: 관절 접촉 압력을 분산, 발목 안팎번짐을 제어, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_92bcd7c98b","LOAD_UNIT","중족·전족부 관절 복합체","중족·전족부 복합체 안의 중족·전족부 관절 복합체","관절 접촉 압력을 분산|굽힘 부하에 대응|비틀림 부하를 제어","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","중족·전족부 관절 복합체: 관절 접촉 압력을 분산, 굽힘 부하에 대응, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_2d44aafe1e","LOAD_UNIT","아킬레스건","발목·후족부 복합체 안의 아킬레스건","인장 부하를 전달|빠른 신장 부하에 대응|신장-단축 주기를 지지","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","아킬레스건: 인장 부하를 전달, 빠른 신장 부하에 대응, 신장-단축 주기를 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_26cb1f9f2c","LOAD_UNIT","후경골근건","발목·후족부 복합체 안의 후경골근건","인장 부하를 전달|관절과 분절을 안정화|발목 안팎번짐을 제어","싱글 레그 카프 레이즈|6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트","후경골근건: 인장 부하를 전달, 관절과 분절을 안정화, 발목 안팎번짐을 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_df728dc186","LOAD_UNIT","비골근건 복합체","발목·후족부 복합체 안의 비골근건 복합체","인장 부하를 전달|관절과 분절을 안정화|발목 안팎번짐을 제어","싱글 레그 카프 레이즈|6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트","비골근건 복합체: 인장 부하를 전달, 관절과 분절을 안정화, 발목 안팎번짐을 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_192bb30a2e","LOAD_UNIT","전경골근건","발목·후족부 복합체 안의 전경골근건","인장 부하를 전달|반복 활주를 지지","A스킵|B스킵|스킵 바운드|스트라이드","전경골근건: 인장 부하를 전달, 반복 활주를 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_82e419cfd9","LOAD_UNIT","족저근막 복합체","중족·전족부 복합체 안의 족저근막 복합체","인장 부하를 전달|굽힘 부하에 대응|신장-단축 주기를 지지","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","족저근막 복합체: 인장 부하를 전달, 굽힘 부하에 대응, 신장-단축 주기를 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_f86f763ed7","LOAD_UNIT","발가락 굴곡건 복합체","중족·전족부 복합체 안의 발가락 굴곡건 복합체","인장 부하를 전달|그립 부하를 지지|신장-단축 주기를 지지","스탠딩 카프 레이즈|시티드 카프 레이즈|싱글 레그 카프 레이즈|카프 레이즈","발가락 굴곡건 복합체: 인장 부하를 전달, 그립 부하를 지지, 신장-단축 주기를 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_e7d26ea928","LOAD_UNIT","전거비인대(ATFL)","발목·후족부 복합체 안의 전거비인대(ATFL)","인장 부하를 전달|발목 안팎번짐을 제어|비틀림 부하를 제어","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","전거비인대(ATFL): 인장 부하를 전달, 발목 안팎번짐을 제어, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_9508964ced","LOAD_UNIT","종비인대(CFL)","발목·후족부 복합체 안의 종비인대(CFL)","인장 부하를 전달|발목 안팎번짐을 제어|비틀림 부하를 제어","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","종비인대(CFL): 인장 부하를 전달, 발목 안팎번짐을 제어, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_709fa6f6bd","LOAD_UNIT","발목 삼각인대 복합체","발목·후족부 복합체 안의 발목 삼각인대 복합체","인장 부하를 전달|발목 바깥번짐을 제어|비틀림 부하를 제어","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","발목 삼각인대 복합체: 인장 부하를 전달, 발목 바깥번짐을 제어, 비틀림 부하를 제어 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_90b102bfdb","LOAD_UNIT","원위 경비인대 결합 복합체","발목·후족부 복합체 안의 원위 경비인대 결합 복합체","인장 부하를 전달|바깥회전 부하를 제어|발목 굽힘 범위를 지지","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","원위 경비인대 결합 복합체: 인장 부하를 전달, 바깥회전 부하를 제어, 발목 굽힘 범위를 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
"lu_f959f8aafb","LOAD_UNIT","리스프랑 인대 복합체","중족·전족부 복합체 안의 리스프랑 인대 복합체","인장 부하를 전달|비틀림 부하를 제어|중족부 굽힘을 지지","6방향 랜덤 콕줍기|6코너 섀도우 풋워크|6코너 풋워크 최대반복 테스트|A스킵","리스프랑 인대 복합체: 인장 부하를 전달, 비틀림 부하를 제어, 중족부 굽힘을 지지 관련 부하를 보는 연결조직 분석 단위.","RCV-ALL-0.6-EDU-1"
