"revisedClaimCandidateId","priorClaimCandidateId","reviewBatchId","sourceId","stableKey","tissueId","loadDimension","metricRole","testedExercise","appExerciseCorrespondence","externalLoadCondition","relativeLoadCondition","romCondition","velocityCondition","bilateralOrUnilateral","surfaceCondition","landingCondition","measurementMethod","metric","value","lowerBound","upperBound","unit","normalizationBasis","claimDirection","claimLimitations","maximumDefensibleBand","evidenceLocator","sourceVerificationStatus","publicationIntegrityStatus","disposition","technicalStatus","productionEligibility","notes"
"R1C_08B_PFJ_FULL_SQUAT_IMPULSE","CLAIM_C_084C0B3DCC597268","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg full-depth squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Full depth","Study-defined","Bilateral","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading impulse","3.8","3.0","4.6","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","Bodyweight duration-sensitive result; no weighted transfer","","Song et al. 2023 Table 1 double-leg squat full-depth row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Peak and impulse remain separate."
"R1C_08C_PFJ_FULL_SQUAT_RATE","CLAIM_C_084C0B3DCC597268","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_cb3c4dc2","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg full-depth squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Full depth","Study-defined","Bilateral","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading rate","14.8","10.7","18.9","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","Bodyweight rate; no weighted transfer or generic band","","Song et al. 2023 Table 1 double-leg squat full-depth row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Peak and rate remain separate."
"R1C_09A_PFJ_BULGARIAN_PEAK","CLAIM_C_0777BA7A1FB88DF1","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_e2efd0fe","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined Bulgarian squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Unilateral lead limb task","Laboratory force plates","Not applicable","3D motion analysis, force plates, and PFJ model","PFJ loading peak","4.7","4.0","5.4","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Not transferable to generic split squat, RFESS, or loaded variants","","Song et al. 2023 Table 1 Bulgarian squat row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_AND_REMAPPED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Canonical Bulgarian key used."
"R1C_09B_PFJ_BULGARIAN_IMPULSE","CLAIM_C_0777BA7A1FB88DF1","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_e2efd0fe","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined Bulgarian squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Unilateral lead limb task","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading impulse","4.4","3.4","5.4","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","Long duration explains higher impulse than some fast tasks; no loaded transfer","","Song et al. 2023 Table 1 Bulgarian squat row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_AND_REMAPPED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Peak and impulse remain separate."
"R1C_09C_PFJ_BULGARIAN_RATE","CLAIM_C_0777BA7A1FB88DF1","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_e2efd0fe","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined Bulgarian squat","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Unilateral lead limb task","Laboratory force plates","Not applicable","Same PFJ force-time model as linked peak row","PFJ loading rate","15.4","11.3","19.5","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","No loaded response model and no variant transfer","","Song et al. 2023 Table 1 Bulgarian squat row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_AND_REMAPPED","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","No generic rate band."
"R1C_10A_PFJ_LUNGE_PEAK","CLAIM_C_E09E28E71A401E8D","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined non-jumping lunge","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Alternating unilateral stance","Laboratory force plates","Non-jumping","3D motion analysis, force plates, and PFJ model","PFJ loading peak","5.1","4.3","5.9","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Lunge direction and stride are not encoded; no jump-lunge or loaded-lunge transfer","","Song et al. 2023 Table 1 lunge row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Non-jumping reference only."
"R1C_10B_PFJ_LUNGE_IMPULSE","CLAIM_C_E09E28E71A401E8D","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined non-jumping lunge","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Alternating unilateral stance","Laboratory force plates","Non-jumping","Same PFJ force-time model as linked peak row","PFJ loading impulse","5.2","3.9","6.5","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","Cannot transfer across lunge direction, stride, load placement, or jumping variants","","Song et al. 2023 Table 1 lunge row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Duration-sensitive reference only."
"R1C_10C_PFJ_LUNGE_RATE","CLAIM_C_E09E28E71A401E8D","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_64644b5e","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Study-defined non-jumping lunge","CLOSE_VARIANT","No external load","BODYWEIGHT_TASK_CONDITION","Study-defined","Study-defined","Alternating unilateral stance","Laboratory force plates","Non-jumping","Same PFJ force-time model as linked peak row","PFJ loading rate","20.4","14.0","26.8","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","Cannot transfer across lunge direction, stride, load placement, or jumping variants","","Song et al. 2023 Table 1 lunge row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","No generic rate band."
"R1C_11A_PFJ_DROP_JUMP_PEAK","CLAIM_C_E540DF218D72E603","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_d6726746","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg drop vertical jump","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Fast plyometric","Bilateral","Laboratory force plates","Drop then immediate vertical jump","3D motion analysis, force plates, and PFJ model","PFJ loading peak","6.8","5.4","8.2","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","Drop height and app protocol transfer remain bounded","","Song et al. 2023 Table 1 double-leg drop vertical jump row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Composite MODERATE removed."
"R1C_11B_PFJ_DROP_JUMP_IMPULSE","CLAIM_C_E540DF218D72E603","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_d6726746","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg drop vertical jump","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Fast plyometric","Bilateral","Laboratory force plates","Drop then immediate vertical jump","Same PFJ force-time model as linked peak row","PFJ loading impulse","2.6","1.9","3.3","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","Short contact means impulse can be lower than slower squat/lunge despite higher peak and rate","","Song et al. 2023 Table 1 double-leg drop vertical jump row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","No cross-metric ranking."
"R1C_11C_PFJ_DROP_JUMP_RATE","CLAIM_C_E540DF218D72E603","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_d6726746","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Double-leg drop vertical jump","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Fast plyometric","Bilateral","Laboratory force plates","Drop then immediate vertical jump","Same PFJ force-time model as linked peak row","PFJ loading rate","75.4","57.7","93.1","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","Drop height and landing strategy remain protocol-specific","","Song et al. 2023 Table 1 double-leg drop vertical jump row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Rate is not generic impact impulse."
"R1C_12A_PFJ_MAX_HOP_PEAK","CLAIM_C_4D02CF35465C7511","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_314df428","KNEE_PATELLOFEMORAL","PEAK_COMPRESSION","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Single-leg maximal forward hop","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Maximal forward hop","Unilateral","Laboratory force plates","Single maximal forward landing","3D motion analysis, force plates, and PFJ model","PFJ loading peak","6.3","5.1","7.5","BW","BODY_WEIGHT_NORMALIZED_FORCE","CONDITION_SPECIFIC_MAGNITUDE","App hop-and-stick differs from maximal forward hop; no all-hop transfer","","Song et al. 2023 Table 1 single-leg maximal forward hop row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Composite MODERATE removed."
"R1C_12B_PFJ_MAX_HOP_IMPULSE","CLAIM_C_4D02CF35465C7511","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_314df428","KNEE_PATELLOFEMORAL","COMPRESSION_IMPULSE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Single-leg maximal forward hop","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Maximal forward hop","Unilateral","Laboratory force plates","Single maximal forward landing","Same PFJ force-time model as linked peak row","PFJ loading impulse","2.6","1.2","4.0","BW*s","BODY_WEIGHT_NORMALIZED_IMPULSE","CONDITION_SPECIFIC_CUMULATIVE_EXPOSURE","No repeated-hop or stick-protocol transfer","","Song et al. 2023 Table 1 single-leg maximal forward hop row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Peak and impulse remain separate."
"R1C_12C_PFJ_MAX_HOP_RATE","CLAIM_C_4D02CF35465C7511","TISSUE_RESEARCH_C2A_R1_LOWER_REVISED","SRC_PMID_37272685","ex_314df428","KNEE_PATELLOFEMORAL","COMPRESSION_LOADING_RATE","SOURCE_SPECIFIC_MECHANICAL_MEASUREMENT","Single-leg maximal forward hop","CLOSE_VARIANT","Bodyweight","BODYWEIGHT_TASK_CONDITION","Task-defined","Maximal forward hop","Unilateral","Laboratory force plates","Single maximal forward landing","Same PFJ force-time model as linked peak row","PFJ loading rate","93.1","75.1","111.1","BW/s","BODY_WEIGHT_NORMALIZED_LOADING_RATE","CONDITION_SPECIFIC_RATE","No repeated-hop or stick-protocol transfer","","Song et al. 2023 Table 1 single-leg maximal forward hop row","PMID_AND_DOI_VERIFIED","NO_ADVERSE_NOTICE_FOUND","RECLASSIFIED_METRIC_SPECIFIC","TECHNICALLY_REAUDITED_WITH_LIMITATIONS","false","Rate is not generic impact impulse."
