"dimensionId","tissueClass","tissueId","mechanicalLoadMode","temporalMetric","allowedMeasurementMetrics","allowedNormalizationBases","sourceObservedOrDerived","derivedFormulaId","biomechanicalMeaning","clinicalInterpretationBoundary","minimumEvidenceLevel","rubricEligible","profileEligible","deprecatedLegacyDimensions","migrationNotes","createdBy","createdByType","createdAt"
"QUAD_TENSION_PEAK","TENDON","QUADRICEPS_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_OBSERVED","","TENSION measured as PEAK for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","PEAK_TENSILE_LOAD|TENDON_STRAIN","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"QUAD_TENSION_IMPULSE_EVENT","TENDON","QUADRICEPS_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"QUAD_TENSION_LOADING_RATE","TENDON","QUADRICEPS_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","LOADING_RATE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"QUAD_TENSION_CYCLIC","TENDON","QUADRICEPS_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","CYCLIC_TENSILE_LOAD","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"QUAD_ECCENTRIC_PEAK","TENDON","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_PEAK for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","ECCENTRIC_LOAD","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"QUAD_ECCENTRIC_IMPULSE","TENDON","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_IMPULSE","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_IMPULSE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PFJ_COMPRESSION_PEAK","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","PEAK_COMPRESSION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PFJ_COMPRESSION_IMPULSE_EVENT","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","COMPRESSION measured as IMPULSE_PER_EVENT for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","COMPRESSION_IMPULSE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PFJ_COMPRESSION_LOADING_RATE","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","COMPRESSION measured as LOADING_RATE for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","COMPRESSION_LOADING_RATE","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PFJ_COMPRESSION_SESSION_IMPULSE","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","CUMULATIVE_SESSION_IMPULSE","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","APPLICATION_DERIVED","SUM_COMPATIBLE_EVENT_IMPULSES_V1","COMPRESSION measured as CUMULATIVE_SESSION_IMPULSE for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","Requires source per-event impulse and deterministic event count; runtime population is prohibited in C3","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TFJ_COMPRESSION_PEAK","JOINT","KNEE_TIBIOFEMORAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TFJ_COMPRESSION_IMPULSE_EVENT","JOINT","KNEE_TIBIOFEMORAL","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","SOURCE_OBSERVED","","COMPRESSION measured as IMPULSE_PER_EVENT for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TFJ_AP_SHEAR_PEAK","JOINT","KNEE_TIBIOFEMORAL","ANTERIOR_POSTERIOR_SHEAR","PEAK","MODELED_JOINT_CONTACT_FORCE|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_JOINT_MOMENT","SOURCE_OBSERVED","","ANTERIOR_POSTERIOR_SHEAR measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TFJ_AP_SHEAR_IMPULSE_EVENT","JOINT","KNEE_TIBIOFEMORAL","ANTERIOR_POSTERIOR_SHEAR","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL|EXTERNAL_JOINT_MOMENT","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE|BODY_MASS_NORMALIZED_JOINT_MOMENT","SOURCE_OBSERVED","","ANTERIOR_POSTERIOR_SHEAR measured as IMPULSE_PER_EVENT for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TFJ_ROTATIONAL_PEAK","JOINT","KNEE_TIBIOFEMORAL","ROTATIONAL_STRESS","PEAK","MODELED_JOINT_CONTACT_FORCE|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_JOINT_MOMENT","SOURCE_OBSERVED","","ROTATIONAL_STRESS measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACL_ANTERIOR_TRANSLATION_PEAK","LIGAMENT","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","ANTERIOR_TRANSLATION_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","ANTERIOR_TRANSLATION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACL_INTERNAL_ROTATION_PEAK","LIGAMENT","KNEE_ACL","INTERNAL_ROTATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","INTERNAL_ROTATION_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","INTERNAL_ROTATION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACL_VALGUS_PEAK","LIGAMENT","KNEE_ACL","VALGUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","VALGUS_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","VALGUS","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACL_IMPACT_LOADING_RATE","LIGAMENT","KNEE_ACL","IMPACT_STABILIZATION","LOADING_RATE","GROUND_REACTION_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","IMPACT_STABILIZATION measured as LOADING_RATE for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","IMPACT_STABILIZATION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ACL_ANTERIOR_CYCLIC","LIGAMENT","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","ANTERIOR_TRANSLATION_STRESS measured as CYCLIC_EXPOSURE for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"PCL_POSTERIOR_TRANSLATION_PEAK","LIGAMENT","KNEE_PCL","POSTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","POSTERIOR_TRANSLATION_STRESS measured as PEAK for KNEE_PCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","POSTERIOR_TRANSLATION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"MCL_VALGUS_PEAK","LIGAMENT","KNEE_MCL","VALGUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","VALGUS_STRESS measured as PEAK for KNEE_MCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","VALGUS","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"LCL_VARUS_PEAK","LIGAMENT","KNEE_LCL","VARUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","VARUS_STRESS measured as PEAK for KNEE_LCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","VARUS","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TALOCRURAL_COMPRESSION_PEAK","JOINT","ANKLE_TALOCRURAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE|GROUND_REACTION_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for ANKLE_TALOCRURAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"TALOCRURAL_IMPACT_LOADING_RATE","JOINT","ANKLE_TALOCRURAL","IMPACT_STABILIZATION","LOADING_RATE","GROUND_REACTION_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","IMPACT_STABILIZATION measured as LOADING_RATE for ANKLE_TALOCRURAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"SUBTALAR_ROTATIONAL_PEAK","JOINT","ANKLE_SUBTALAR","ROTATIONAL_STRESS","PEAK","MODELED_JOINT_CONTACT_FORCE|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_JOINT_MOMENT","SOURCE_OBSERVED","","ROTATIONAL_STRESS measured as PEAK for ANKLE_SUBTALAR","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ANKLE_LATERAL_INVERSION_PEAK","LIGAMENT","ANKLE_LATERAL_LIGAMENT_COMPLEX","INVERSION_STRESS","PEAK","MODELED_LIGAMENT_FORCE|MEASURED_LIGAMENT_STRAIN|EXTERNAL_JOINT_MOMENT","ABSOLUTE_FORCE_NEWTON|MEASURED_TENDON_STRAIN_PERCENT|BODY_MASS_NORMALIZED_JOINT_MOMENT|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","INVERSION_STRESS measured as PEAK for ANKLE_LATERAL_LIGAMENT_COMPLEX","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","INVERSION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ANKLE_LATERAL_IMPACT_LOADING_RATE","LIGAMENT","ANKLE_LATERAL_LIGAMENT_COMPLEX","IMPACT_STABILIZATION","LOADING_RATE","GROUND_REACTION_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","IMPACT_STABILIZATION measured as LOADING_RATE for ANKLE_LATERAL_LIGAMENT_COMPLEX","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","IMPACT_STABILIZATION","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
"ANKLE_LATERAL_INVERSION_CYCLIC","LIGAMENT","ANKLE_LATERAL_LIGAMENT_COMPLEX","INVERSION_STRESS","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","SOURCE_OBSERVED","","INVERSION_STRESS measured as CYCLIC_EXPOSURE for ANKLE_LATERAL_LIGAMENT_COMPLEX","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","","C3 non-production dimension","Codex","AI_AGENT","2026-07-14T01:00:01Z"
