"legacyField","legacyToken","candidateTissueIds","candidateDimensions","mappingSpecificity","reviewPriority","automaticBandAllowed","migrationStatus","migrationNotes"
"ligamentJointStabilityStressTags","ANKLE_STABILITY_STRESS","ANKLE_SUBTALAR|ANKLE_TALOCRURAL|ANKLE_DELTOID_LIGAMENT|ANKLE_LATERAL_LIGAMENT_COMPLEX|ANKLE_SYNDESMOSIS","STABILITY_DEMAND|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad stability token does not populate every candidate."
"ligamentJointStabilityStressTags","ELBOW_JOINT_STRESS","HUMERORADIAL|HUMEROULNAR|ELBOW_LCL|ELBOW_UCL","COMPRESSION|STABILITY_DEMAND|VALGUS|VARUS","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad elbow token requires dimension-specific review."
"ligamentJointStabilityStressTags","HIP_PELVIS_STABILITY_STRESS","HIP|SACROILIAC_COMPLEX|HIP_CAPSULOLIGAMENTOUS_COMPLEX|SACROILIAC_LIGAMENT_COMPLEX","STABILITY_DEMAND|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Hip and pelvic candidates remain separate."
"ligamentJointStabilityStressTags","HIP_ROTATIONAL_CONTROL_STRESS","HIP|HIP_CAPSULOLIGAMENTOUS_COMPLEX","ROTATIONAL_SHEAR|INTERNAL_ROTATION|EXTERNAL_ROTATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Rotation direction requires exercise-specific review."
"ligamentJointStabilityStressTags","JOINT_RANGE_CONTROL_STRESS","GLENOHUMERAL|HIP|KNEE_TIBIOFEMORAL|ANKLE_TALOCRURAL|RADIOCARPAL_WRIST|GLENOHUMERAL_CAPSULOLIGAMENTOUS_COMPLEX|HIP_CAPSULOLIGAMENTOUS_COMPLEX","END_RANGE_STRESS|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Global range token is intentionally incomplete and review-only."
"ligamentJointStabilityStressTags","KNEE_ANKLE_STABILITY_STRESS","KNEE_TIBIOFEMORAL|ANKLE_SUBTALAR|ANKLE_TALOCRURAL|KNEE_ACL|KNEE_PCL|KNEE_MCL|KNEE_LCL|ANKLE_DELTOID_LIGAMENT|ANKLE_LATERAL_LIGAMENT_COMPLEX","STABILITY_DEMAND|DECELERATION_STABILIZATION|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad stability token does not automatically populate candidates."
"ligamentJointStabilityStressTags","KNEE_HIP_STABILITY_STRESS","KNEE_TIBIOFEMORAL|HIP|KNEE_ACL|KNEE_PCL|KNEE_MCL|KNEE_LCL|HIP_CAPSULOLIGAMENTOUS_COMPLEX","STABILITY_DEMAND|DECELERATION_STABILIZATION|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Knee and hip candidates require separate review."
"ligamentJointStabilityStressTags","KNEE_JOINT_STRESS","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL","COMPRESSION|STABILITY_DEMAND","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Legacy token cannot identify knee compartment."
"ligamentJointStabilityStressTags","KNEE_ROTATIONAL_STABILITY_STRESS","KNEE_TIBIOFEMORAL|KNEE_ACL|KNEE_MCL|KNEE_LCL","ROTATIONAL_SHEAR|INTERNAL_ROTATION|EXTERNAL_ROTATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Rotation direction and structure require review."
"ligamentJointStabilityStressTags","KNEE_STABILITY_STRESS","KNEE_PATELLOFEMORAL|KNEE_TIBIOFEMORAL|KNEE_ACL|KNEE_PCL|KNEE_MCL|KNEE_LCL|KNEE_MPFL","STABILITY_DEMAND|DECELERATION_STABILIZATION|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad stability token does not automatically populate every ligament."
"ligamentJointStabilityStressTags","KNEE_VALGUS_CONTROL_STRESS","KNEE_TIBIOFEMORAL|KNEE_MCL","STABILITY_DEMAND|VALGUS","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Joint and MCL candidates remain independent."
"ligamentJointStabilityStressTags","LUMBOPELVIC_CONTROL_STRESS","LUMBAR_SPINE|SACROILIAC_COMPLEX|HIP|SACROILIAC_LIGAMENT_COMPLEX","STABILITY_DEMAND|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad lumbopelvic candidate requires review."
"ligamentJointStabilityStressTags","SHOULDER_EXTENSION_STABILITY_STRESS","GLENOHUMERAL|GLENOHUMERAL_CAPSULOLIGAMENTOUS_COMPLEX","END_RANGE_STRESS|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Extension condition requires exercise-specific review."
"ligamentJointStabilityStressTags","SHOULDER_JOINT_STABILITY_STRESS","ACROMIOCLAVICULAR|GLENOHUMERAL|SCAPULOTHORACIC_FUNCTIONAL_COMPLEX|ACROMIOCLAVICULAR_LIGAMENT_COMPLEX|GLENOHUMERAL_CAPSULOLIGAMENTOUS_COMPLEX","STABILITY_DEMAND|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad shoulder token does not assign a structure."
"ligamentJointStabilityStressTags","SHOULDER_SCAPULAR_STABILITY_STRESS","ACROMIOCLAVICULAR|GLENOHUMERAL|SCAPULOTHORACIC_FUNCTIONAL_COMPLEX|ACROMIOCLAVICULAR_LIGAMENT_COMPLEX","STABILITY_DEMAND|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Functional and ligament candidates remain separate."
"ligamentJointStabilityStressTags","WRIST_STABILITY_STRESS","DISTAL_RADIOULNAR|RADIOCARPAL_WRIST|WRIST_LIGAMENT_TFCC_COMPLEX","STABILITY_DEMAND|END_RANGE_RESTRAINT","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad wrist token requires review."
"ligamentJointStabilityStressTags","WRIST_SUPPORT_STRESS","DISTAL_RADIOULNAR|RADIOCARPAL_WRIST|WRIST_LIGAMENT_TFCC_COMPLEX","COMPRESSION|STABILITY_DEMAND|IMPACT_STABILIZATION","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Support condition requires review."
"tendonStressTags","ACHILLES_TENDON_STRESS","ACHILLES_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
"tendonStressTags","ADDUCTOR_TENDON_STRESS","ADDUCTOR_TENDON_GROUP","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","GROUPED","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Grouped candidate requires exercise-specific review."
"tendonStressTags","BICEPS_TENDON_STRESS","DISTAL_BICEPS_TENDON|LONG_HEAD_BICEPS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Legacy token does not identify proximal versus distal structure."
"tendonStressTags","ELBOW_TENDON_STRESS","COMMON_EXTENSOR_TENDON|COMMON_FLEXOR_TENDON|DISTAL_BICEPS_TENDON|TRICEPS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad elbow candidate; no equal split."
"tendonStressTags","FOREARM_EXTENSOR_TENDON_STRESS","COMMON_EXTENSOR_TENDON|WRIST_EXTENSOR_TENDON_GROUP","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Anatomical level is unresolved."
"tendonStressTags","FOREARM_FLEXOR_TENDON_STRESS","COMMON_FLEXOR_TENDON|WRIST_FLEXOR_TENDON_GROUP","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Anatomical level is unresolved."
"tendonStressTags","GLUTE_MED_TENDON_STRESS","GLUTEUS_MEDIUS_MINIMUS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","GROUPED","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
"tendonStressTags","HAMSTRING_TENDON_STRESS","PROXIMAL_HAMSTRING_TENDON|DISTAL_HAMSTRING_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Legacy token does not identify proximal versus distal structure."
"tendonStressTags","PATELLAR_TENDON_STRESS","PATELLAR_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
"tendonStressTags","PECTORAL_TENDON_STRESS","PECTORALIS_MAJOR_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
"tendonStressTags","QUAD_TENDON_STRESS","QUADRICEPS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Alias retained as a separate legacy decision."
"tendonStressTags","QUADRICEPS_TENDON_STRESS","QUADRICEPS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
"tendonStressTags","ROTATOR_CUFF_TENDON_STRESS","POSTERIOR_ROTATOR_CUFF_TENDON|SUBSCAPULARIS_TENDON|SUPRASPINATUS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad cuff token; no equal split."
"tendonStressTags","SHOULDER_TENDON_STRESS","LONG_HEAD_BICEPS_TENDON|PECTORALIS_MAJOR_TENDON|POSTERIOR_ROTATOR_CUFF_TENDON|SUBSCAPULARIS_TENDON|SUPRASPINATUS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","BROAD_AMBIGUOUS","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Broad shoulder candidate requires evidence review."
"tendonStressTags","TRICEPS_TENDON_STRESS","TRICEPS_TENDON","PEAK_TENSILE_LOAD|CYCLIC_TENSILE_LOAD","SPECIFIC","HIGH","false","LEGACY_SEEDED_NOT_EVALUATED","Candidate only; no automatic band."
