"dimensionId","c3DimensionId","tissueClass","tissueId","mechanicalLoadMode","temporalMetric","allowedMeasurementMetrics","allowedNormalizationBases","allowedEvidenceRelations","allowedTissueResponseMetrics","sourceObservedOrDerived","derivedFormulaId","biomechanicalMeaning","clinicalInterpretationBoundary","minimumEvidenceLevel","rubricEligible","profileEligible","correctionStatus","migrationNotes","createdBy","createdByType","createdAt"
"PAT_ECCENTRIC_PEAK","PAT_ECCENTRIC_PEAK","TENDON","PATELLAR_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_PEAK for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PAT_ECCENTRIC_IMPULSE","PAT_ECCENTRIC_IMPULSE","TENDON","PATELLAR_TENDON","TENSION","ECCENTRIC_PHASE_IMPULSE","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_IMPULSE for PATELLAR_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_PEAK","QUAD_TENSION_PEAK","TENDON","QUADRICEPS_TENDON","TENSION","PEAK","MODELED_TENDON_FORCE|MODELED_TENDON_STRESS|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT|UNNORMALIZED_SOURCE_VALUE","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as PEAK for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_IMPULSE_EVENT","QUAD_TENSION_IMPULSE_EVENT","TENDON","QUADRICEPS_TENDON","TENSION","IMPULSE_PER_EVENT","TENDON_FORCE_TIME_INTEGRAL|MODELED_TENDON_STRESS_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as IMPULSE_PER_EVENT for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_LOADING_RATE","QUAD_TENSION_LOADING_RATE","TENDON","QUADRICEPS_TENDON","TENSION","LOADING_RATE","MODELED_TENDON_FORCE_LOADING_RATE|MODELED_TENDON_STRESS_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as LOADING_RATE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_TENSION_CYCLIC","QUAD_TENSION_CYCLIC","TENDON","QUADRICEPS_TENDON","TENSION","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","CONTEXT_ONLY","","SOURCE_OBSERVED","","TENSION measured as CYCLIC_EXPOSURE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_ECCENTRIC_PEAK","QUAD_ECCENTRIC_PEAK","TENDON","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_PEAK","MODELED_TENDON_FORCE|MEASURED_TENDON_STRAIN","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE|MEASURED_TENDON_STRAIN_PERCENT","DIRECT_INTERNAL_MEASUREMENT|VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_PEAK for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"QUAD_ECCENTRIC_IMPULSE","QUAD_ECCENTRIC_IMPULSE","TENDON","QUADRICEPS_TENDON","TENSION","ECCENTRIC_PHASE_IMPULSE","TENDON_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","TENSION measured as ECCENTRIC_PHASE_IMPULSE for QUADRICEPS_TENDON","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_PEAK","PFJ_COMPRESSION_PEAK","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_IMPULSE_EVENT","PFJ_COMPRESSION_IMPULSE_EVENT","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as IMPULSE_PER_EVENT for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_LOADING_RATE","PFJ_COMPRESSION_LOADING_RATE","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","LOADING_RATE","MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","BODY_WEIGHT_NORMALIZED_LOADING_RATE|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as LOADING_RATE for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PFJ_COMPRESSION_SESSION_IMPULSE","PFJ_COMPRESSION_SESSION_IMPULSE","JOINT","KNEE_PATELLOFEMORAL","COMPRESSION","CUMULATIVE_SESSION_IMPULSE","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","APPLICATION_DERIVED","SUM_COMPATIBLE_EVENT_IMPULSES_V1","COMPRESSION measured as CUMULATIVE_SESSION_IMPULSE for KNEE_PATELLOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_COMPRESSION_PEAK","TFJ_COMPRESSION_PEAK","JOINT","KNEE_TIBIOFEMORAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_COMPRESSION_IMPULSE_EVENT","TFJ_COMPRESSION_IMPULSE_EVENT","JOINT","KNEE_TIBIOFEMORAL","COMPRESSION","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as IMPULSE_PER_EVENT for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_AP_SHEAR_PEAK","TFJ_AP_SHEAR_PEAK","JOINT","KNEE_TIBIOFEMORAL","ANTERIOR_POSTERIOR_SHEAR","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","ANTERIOR_POSTERIOR_SHEAR measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_AP_SHEAR_IMPULSE_EVENT","TFJ_AP_SHEAR_IMPULSE_EVENT","JOINT","KNEE_TIBIOFEMORAL","ANTERIOR_POSTERIOR_SHEAR","IMPULSE_PER_EVENT","JOINT_CONTACT_FORCE_TIME_INTEGRAL","BODY_WEIGHT_NORMALIZED_IMPULSE|BODY_WEIGHT_TIME_NORMALIZED_INTERNAL_IMPULSE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","ANTERIOR_POSTERIOR_SHEAR measured as IMPULSE_PER_EVENT for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TFJ_ROTATIONAL_PEAK","TFJ_ROTATIONAL_PEAK","JOINT","KNEE_TIBIOFEMORAL","ROTATIONAL_STRESS","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","ROTATIONAL_STRESS measured as PEAK for KNEE_TIBIOFEMORAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_ANTERIOR_TRANSLATION_PEAK","ACL_ANTERIOR_TRANSLATION_PEAK","LIGAMENT","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","ANTERIOR_TRANSLATION_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_INTERNAL_ROTATION_PEAK","ACL_INTERNAL_ROTATION_PEAK","LIGAMENT","KNEE_ACL","INTERNAL_ROTATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","INTERNAL_ROTATION_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_VALGUS_PEAK","ACL_VALGUS_PEAK","LIGAMENT","KNEE_ACL","VALGUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","VALGUS_STRESS measured as PEAK for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_TENSION_PEAK","ACL_IMPACT_PEAK","LIGAMENT","KNEE_ACL","TENSION","PEAK","MEASURED_LIGAMENT_STRAIN","MEASURED_LIGAMENT_STRAIN_PERCENT","DIRECT_INTERNAL_MEASUREMENT","","SOURCE_OBSERVED","","Peak ACL tensile strain; landing remains event context","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","RECLASSIFIED","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"ACL_ANTERIOR_CYCLIC","ACL_ANTERIOR_CYCLIC","LIGAMENT","KNEE_ACL","ANTERIOR_TRANSLATION_STRESS","CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_NORMALIZED_INDEX|UNNORMALIZED_SOURCE_VALUE","CONTEXT_ONLY","","SOURCE_OBSERVED","","ANTERIOR_TRANSLATION_STRESS measured as CYCLIC_EXPOSURE for KNEE_ACL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"PCL_POSTERIOR_TRANSLATION_PEAK","PCL_POSTERIOR_TRANSLATION_PEAK","LIGAMENT","KNEE_PCL","POSTERIOR_TRANSLATION_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","POSTERIOR_TRANSLATION_STRESS measured as PEAK for KNEE_PCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MCL_VALGUS_PEAK","MCL_VALGUS_PEAK","LIGAMENT","KNEE_MCL","VALGUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","VALGUS_STRESS measured as PEAK for KNEE_MCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"LCL_VARUS_PEAK","LCL_VARUS_PEAK","LIGAMENT","KNEE_LCL","VARUS_STRESS","PEAK","MODELED_LIGAMENT_FORCE","ABSOLUTE_FORCE_NEWTON|UNNORMALIZED_SOURCE_VALUE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","VARUS_STRESS measured as PEAK for KNEE_LCL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","false","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"TALOCRURAL_COMPRESSION_PEAK","TALOCRURAL_COMPRESSION_PEAK","JOINT","ANKLE_TALOCRURAL","COMPRESSION","PEAK","MODELED_JOINT_CONTACT_FORCE","ABSOLUTE_FORCE_NEWTON|BODY_WEIGHT_NORMALIZED_INTERNAL_FORCE|BODY_MASS_NORMALIZED_INTERNAL_FORCE","VALIDATED_INTERNAL_MODEL","","SOURCE_OBSERVED","","COMPRESSION measured as PEAK for ANKLE_TALOCRURAL","Interpret only within compatible measurement, normalization, and source conditions","VERIFIED_PRIMARY_SOURCE","true","false","UNCHANGED_VALID","C3.1 non-production dimension; event, phase, position, functional demand, and tissue response are not dimension identity.","Codex","AI_AGENT","2026-07-15T00:00:01Z"
