"measurementMetric","measurementFamily","metricOrigin","compatibleMechanicalLoadModes","compatibleTemporalMetrics","allowedEvidenceRelations","requiredModelAssumptions","createdBy","createdByType","createdAt"
"MODELED_TENDON_STRESS_TIME_INTEGRAL","INTERNAL_TENDON_STRESS_IMPULSE","SOURCE_OBSERVED","TENSION","IMPULSE_PER_EVENT|ECCENTRIC_PHASE_IMPULSE","VALIDATED_INTERNAL_MODEL","Integration interval, cross-sectional area, and tendon-force model required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_TENDON_FORCE_LOADING_RATE","INTERNAL_TENDON_LOADING_RATE","SOURCE_OBSERVED","COMPRESSION|TENSION","LOADING_RATE","VALIDATED_INTERNAL_MODEL","Tendon force-time model and rate definition required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_TENDON_STRESS_LOADING_RATE","INTERNAL_TENDON_STRESS_RATE","SOURCE_OBSERVED","TENSION","LOADING_RATE","VALIDATED_INTERNAL_MODEL","Rate window, cross-sectional area, and tendon-force model required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_JOINT_CONTACT_FORCE_LOADING_RATE","INTERNAL_JOINT_LOADING_RATE","SOURCE_OBSERVED","ANTERIOR_POSTERIOR_SHEAR|COMPRESSION|ROTATIONAL_STRESS","LOADING_RATE","VALIDATED_INTERNAL_MODEL","Joint-contact force-time model and rate definition required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"GROUND_REACTION_FORCE_LOADING_RATE","EXTERNAL_LOADING_RATE_PROXY","SOURCE_OBSERVED","COMPRESSION","LOADING_RATE","VALIDATED_PROXY|UNVALIDATED_PROXY","Explicit approved proxy mapping required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MEASURED_TENDON_ENERGY_STORAGE","TENDON_ENERGY","SOURCE_OBSERVED","TENSION","PEAK|CYCLIC_EXPOSURE","DIRECT_INTERNAL_MEASUREMENT","Direct energy or force-elongation measurement required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"MODELED_TENDON_ENERGY_STORAGE","TENDON_ENERGY","SOURCE_OBSERVED","TENSION","PEAK|CYCLIC_EXPOSURE","VALIDATED_INTERNAL_MODEL","Force-elongation model assumptions required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"EVENT_COUNT","EVENT_COUNT","SOURCE_OBSERVED","ANTERIOR_TRANSLATION_STRESS|COMPRESSION|INVERSION_STRESS|TENSION","CYCLIC_EVENT_COUNT","CONTEXT_ONLY","Event definition and laterality required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"SOURCE_DEFINED_CYCLIC_EXPOSURE","SOURCE_DEFINED_CYCLIC","SOURCE_OBSERVED","ANTERIOR_TRANSLATION_STRESS|COMPRESSION|INVERSION_STRESS|TENSION","CYCLIC_EXPOSURE|CUMULATIVE_WEEKLY_EXPOSURE","CONTEXT_ONLY","Source protocol and aggregation definition required","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"SOURCE_DEFINED_KINEMATIC_STABILITY_PROXY","SOURCE_DEFINED_KINEMATIC_PROXY","SOURCE_OBSERVED","EVERSION_STRESS|INVERSION_STRESS|ROTATIONAL_STRESS","PEAK","VALIDATED_PROXY|UNVALIDATED_PROXY","Source protocol required; no internal tissue-load interpretation without an approved mapping","Codex","AI_AGENT","2026-07-15T00:00:01Z"
"SOURCE_DEFINED_COMPOSITE_INDEX","SOURCE_SPECIFIC_COMPOSITE","SOURCE_SPECIFIC","COMPRESSION|TENSION","PEAK","CONTEXT_ONLY","Source formula required; no generic biomechanical interpretation","Codex","AI_AGENT","2026-07-15T00:00:01Z"
