"stableKey","sourceField","sourceToken","sourceSemanticFacts","existingCanonicalFactsBefore","canonicalFactsAfter","lostFacts","unsupportedNewFacts","duplicatedFacts","informationStatus"
"barbell_reverse_wrist_curl","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=FOREARM_EXTENSOR_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_FOREARM_LOAD|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC|WRIST_CONTROL_LOAD|WRIST_STABILITY_STRESS;muscles=BACK|CORE|FOREARM|GRIP;roles=GRIP_WRIST_SUPPORTIVE;skills=DRIVE|NET_PLAY;qualities=GRIP_ENDURANCE","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=VERY_HIGH","level=SUPPORTIVE;types=GRIP_WRIST_SUPPORTIVE;skills=DRIVE|NET_PLAY;qualities=GRIP_ENDURANCE","axes=RACKET_SUPPORT;objectives=;fatigueCost=VERY_HIGH","removedAxes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"barbell_romanian_deadlift","legacy derived badminton transfer inference","forceType=HINGE;plane=SAGITTAL;laterality=BILATERAL;fatigue=CORE_BRACING_LOAD|FOREARM_FLEXOR_TENDON_STRESS|GLUTE_LOAD|GRIP_FOREARM|GRIP_LOAD|HAMSTRING_LOAD|HAMSTRING_TENDON_STRESS|HEAVY_LOAD|HINGE_POSTERIOR_CHAIN_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CORE|ERECTOR_SPINAE|GLUTE|HAMSTRING|LAT;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=RACKET_SUPPORT|UNILATERAL_STABILITY;objectives=;fatigueCost=VERY_HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"barbell_romanian_deadlift","reviewed intrinsic load and movement relations","HEAVY_COMPOUND_BRACING","Loaded hinge requires axial bracing","Intrinsic movement/load relations without explicit axial-bracing label","MOVEMENT_PATTERN:AXIAL_BRACING","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"cable_hip_adduction","legacy derived badminton transfer inference","forceType=DECELERATE;plane=FRONTAL;laterality=BILATERAL;fatigue=ADDUCTOR_TENDON_STRESS|DECELERATION|ELASTIC_SSC|HIP_ADDUCTOR_LOCAL_LOAD|HIP_PELVIS_STABILITY_STRESS|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|SYSTEMIC;muscles=CORE|DEEP_CORE|GLUTE_MEDIUS|HIP_ADDUCTOR;roles=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|JUMP_LANDING|LOWER_BODY_FORCE|RECOVERY_STEP|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|FOOTWORK|JUMP_LANDING;fatigueCost=HIGH","level=SUPPORTIVE;types=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY","axes=;objectives=ACCELERATION;fatigueCost=HIGH","removedAxes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;removedObjectives=FOOTWORK|JUMP_LANDING","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"cable_lift","legacy derived badminton transfer inference","forceType=ROTATE;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=CORE_BRACING_LOAD|GRIP_FOREARM|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|OVERHEAD_REPETITION|ROTATIONAL_CORE_STABILITY_STRESS|ROTATION_POWER|ROTATION_POWER_LOAD|SHOULDER_JOINT_STABILITY_STRESS|STABILITY_COORDINATION_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|FOREARM|GLUTE|OBLIQUE|SHOULDER;roles=GRIP_FOREARM|ROTATION_POWER|ROTATION_POWER_SUPPORTIVE|SHOULDER_CARE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_STRENGTH","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=ROTATION_POWER;fatigueCost=MEDIUM","level=SUPPORTIVE;types=ROTATION_POWER_SUPPORTIVE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_STRENGTH","axes=ROTATION_CONTROL;objectives=ROTATION_POWER;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"cable_overhead_triceps_extension","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ANTERIOR_SHOULDER_LOAD|ANTI_ROTATION|ELBOW_JOINT_STRESS|GRIP_FOREARM|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|TRICEPS_LOAD|TRICEPS_TENDON_STRESS;muscles=CORE|DEEP_CORE|FOREARM|TRICEPS;roles=;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"cable_pallof_press","legacy derived badminton transfer inference","forceType=BRACE;plane=TRANSVERSE;laterality=BILATERAL;fatigue=ANTI_ROTATION|ANTI_ROTATION_LOAD|CORE_BRACING_LOAD|ISOMETRIC_CORE_BRACING_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CHEST|CORE|DEEP_CORE|OBLIQUE;roles=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=SUPPORTIVE;types=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL;objectives=;fatigueCost=MEDIUM","removedAxes=ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"cable_pallof_press","movementPattern","TRUNK_BRACE","Explicit rotational-torque resistance","MOVEMENT_PATTERN:TRUNK_BRACE","MOVEMENT_PATTERN:ANTI_ROTATION","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"cable_rear_delt_fly","legacy derived badminton transfer inference","forceType=BRACE;plane=TRANSVERSE;laterality=BILATERAL;fatigue=ANTI_ROTATION|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|OVERHEAD_REPETITION|POSTERIOR_DELTOID_LOCAL_LOAD|ROTATOR_CUFF_TENDON_STRESS|SCAPULAR_RETRACTION_LOAD|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC;muscles=CORE|DEEP_CORE|OBLIQUE|REAR_DELT|RHOMBOID|ROTATOR_CUFF|SCAPULAR_STABILIZERS|SHOULDER;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"cable_woodchop","legacy derived badminton transfer inference","forceType=ROTATE;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=CORE_BRACING_LOAD|GRIP_FOREARM|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|OVERHEAD_REPETITION|ROTATIONAL_CORE_STABILITY_STRESS|ROTATION_POWER|ROTATION_POWER_LOAD|SHOULDER_JOINT_STABILITY_STRESS|STABILITY_COORDINATION_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|FOREARM|GLUTE|OBLIQUE|SHOULDER;roles=GRIP_FOREARM|ROTATION_POWER|ROTATION_POWER_SUPPORTIVE|SHOULDER_CARE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_STRENGTH","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=ROTATION_POWER;fatigueCost=MEDIUM","level=SUPPORTIVE;types=ROTATION_POWER_SUPPORTIVE;skills=ROTATION_SEQUENCING;qualities=CORE_BRACING|ROTATIONAL_STRENGTH","axes=ROTATION_CONTROL;objectives=ROTATION_POWER;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"chest_supported_row_machine","legacy derived badminton transfer inference","forceType=PULL;plane=TRANSVERSE;laterality=BILATERAL;fatigue=BICEPS_LOAD|BICEPS_TENDON_STRESS|ELBOW_JOINT_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_LOAD|HORIZONTAL_ROW_STRESS|LAT_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|REAR_DELTOID_LOAD|SCAPULAR_STABILITY_LOAD|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|UPPER_BACK_LOAD;muscles=BACK|BICEPS|CHEST|CORE|LAT|REAR_DELT|RHOMBOID;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT;objectives=;fatigueCost=HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=;objectives=;fatigueCost=HIGH","removedAxes=RACKET_SUPPORT;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"dumbbell_chest_supported_row","legacy derived badminton transfer inference","forceType=PULL;plane=TRANSVERSE;laterality=BILATERAL;fatigue=BICEPS_LOAD|BICEPS_TENDON_STRESS|ELBOW_JOINT_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_LOAD|HORIZONTAL_ROW_STRESS|LAT_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|REAR_DELTOID_LOAD|SCAPULAR_STABILITY_LOAD|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|UPPER_BACK_LOAD;muscles=BACK|BICEPS|CHEST|CORE|LAT|REAR_DELT|RHOMBOID;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT;objectives=;fatigueCost=HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=;objectives=;fatigueCost=HIGH","removedAxes=RACKET_SUPPORT;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"dumbbell_farmer_carry","legacy derived badminton transfer inference","forceType=CARRY;plane=SAGITTAL;laterality=BILATERAL;fatigue=ANTI_ROTATION_LOAD|CORE_BRACING_LOAD|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_FOREARM_LOAD|LOADED_CARRY_BRACING_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC;muscles=CORE|DEEP_CORE|GRIP;roles=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT;objectives=;fatigueCost=MEDIUM","level=SUPPORTIVE;types=CORE_STABILITY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE;qualities=CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL;objectives=;fatigueCost=MEDIUM","removedAxes=RACKET_SUPPORT;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"dumbbell_farmer_carry","reviewed intrinsic load and movement relations","LOADED_CARRY_BRACING","Bilateral loaded carry requires axial trunk stiffness","Intrinsic movement/load relations without explicit axial-bracing label","MOVEMENT_PATTERN:AXIAL_BRACING","NONE","NONE","NONE","LOSSLESS_WITH_EXISTING_OWNER_EXTENSION"
"dumbbell_goblet_squat","legacy derived badminton transfer inference","forceType=SQUAT;plane=SAGITTAL;laterality=BILATERAL;fatigue=GLUTE_LOAD|HIP_STABILITY_LOAD|KNEE_CONTROL_LOAD|KNEE_HIP_STABILITY_STRESS|LOCAL_MUSCLE|LOW_FATIGUE_REHAB|LOW_LOAD_PREHAB_CONTROL_STRESS|NEURAL_HEAVY|PATELLAR_TENDON_STRESS|QUADRICEPS_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=LOW_FATIGUE_CONTROL;objectives=;fatigueCost=VERY_HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=;objectives=;fatigueCost=VERY_HIGH","removedAxes=LOW_FATIGUE_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"dumbbell_lying_triceps_extension","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ELBOW_EXTENSION_LOAD|ELBOW_TENDON_STRESS|GRIP_FOREARM|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|OVERHEAD_REPETITION|SYSTEMIC|TRICEPS_LOCAL_LOAD|TRICEPS_TENDON_STRESS;muscles=CORE|FOREARM|SHOULDER|TRICEPS;roles=;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=LOW","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=LOW","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"dumbbell_overhead_triceps_extension","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ANTERIOR_SHOULDER_LOAD|ANTI_ROTATION|ELBOW_JOINT_STRESS|GRIP_FOREARM|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|TRICEPS_LOAD|TRICEPS_TENDON_STRESS;muscles=CORE|DEEP_CORE|FOREARM|TRICEPS;roles=;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
