exerciseStableKey,exerciseName,planningEligibility,primarySemanticLayer,hasGeneralQuality,hasCoreRelation,hasSportTaskRelation,hasRecoveryPrehabRelation,candidateQuality,candidateRelationLevel,reason,runtimeEvidence,conflict,reviewDecision,status
cable_lift,케이블 리프트,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ROTATIONAL_KINETIC_CHAIN|ROTATIONAL_KINETIC_CHAIN|FATIGUE|BADMINTON_TRANSFER|BALANCE|ROTATIONAL_CORE_STABILITY_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
cable_overhead_triceps_extension,케이블 오버헤드 트라이셉스 익스텐션,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,OVERHEAD_TRICEPS_LONG_HEAD|TRICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
cable_pallof_press,케이블 팔로프 프레스,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS|CORE_STABILITY|FATIGUE|BADMINTON_SUPPORTIVE|BALANCE|ISOMETRIC_CORE_BRACING_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
cable_rear_delt_fly,케이블 리어델트 플라이,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS|REAR_DELT_SCAPULAR_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
cable_woodchop,케이블 우드찹,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ROTATIONAL_KINETIC_CHAIN|ROTATIONAL_KINETIC_CHAIN|FATIGUE|BADMINTON_TRANSFER|BALANCE|ROTATIONAL_CORE_STABILITY_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
chest_supported_row_machine,체스트 서포티드 로우 머신,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ROW_VARIANTS|HORIZONTAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_ROW_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_chest_supported_row,덤벨 체스트 서포티드 로우,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ROW_VARIANTS|HORIZONTAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_ROW_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_farmer_carry,덤벨 파머스 캐리,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,MUSCULAR_ENDURANCE,SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,LOADED_CARRY_VARIANTS|LOADED_CARRY_BRACING|FATIGUE|BADMINTON_SUPPORTIVE|LOADED_CARRY_BRACING_STRESS|DISTANCE_OR_TIME_LOAD,,PASS,AUTO_APPROVED
dumbbell_goblet_squat,덤벨 고블릿 스쿼트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,SQUAT_VARIANTS|KNEE_DOMINANT_ACCESSORY|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|LOW_LOAD_PREHAB_CONTROL_STRESS|VOLUME_LOAD,,PASS,MANUALLY_REVIEWED
dumbbell_lying_triceps_extension,덤벨 라잉 트라이셉스 익스텐션,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS|TRICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_overhead_triceps_extension,덤벨 오버헤드 트라이셉스 익스텐션,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,OVERHEAD_TRICEPS_LONG_HEAD|TRICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_preacher_curl,덤벨 프리처 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_FLEXION_BICEPS_CURL_VARIANTS|BICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_rear_delt_fly,덤벨 리어델트 플라이,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS|REAR_DELT_SCAPULAR_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_reverse_wrist_curl,덤벨 리버스 리스트 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,MUSCULAR_ENDURANCE|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,FOREARM_GRIP_ACCESSORY|FOREARM_GRIP_ACCESSORY|ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOLATION_ACCESSORY_STRESS|LOAD_REPS_OR_TIME,,PASS,MANUALLY_REVIEWED
dumbbell_romanian_deadlift,루마니안 덤벨 데드리프트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,DEADLIFT_HINGE_VARIANTS|POSTERIOR_CHAIN_ACCESSORY|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HINGE_POSTERIOR_CHAIN_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_single_leg_rdl,덤벨 원레그 루마니안 데드리프트,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,DEADLIFT_HINGE_VARIANTS|UNILATERAL_HINGE_ACCESSORY|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|BADMINTON_SUPPORTIVE|UNILATERAL_LOWER_STABILITY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_spider_curl,덤벨 스파이더 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_FLEXION_BICEPS_CURL_VARIANTS|BICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
dumbbell_woodchop,덤벨 우드찹,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ROTATIONAL_KINETIC_CHAIN|ROTATIONAL_KINETIC_CHAIN|FATIGUE|BADMINTON_TRANSFER|BALANCE|ROTATIONAL_CORE_STABILITY_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
ex_1052e9fa,스미스 머신 런지,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,LUNGE_SPLIT_SQUAT_VARIANTS|UNILATERAL_LOWER_STRENGTH|FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE|UNILATERAL_LOWER_STABILITY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_149730de,발목/고관절 가동성,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,YES,MOBILITY_ROM,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,MOBILITY_WARMUP_RECOVERY_EXERCISES|MOBILITY_RECOVERY|RECOVERY_CONTEXT|MOBILITY|MOBILITY_RECOVERY_STRESS|TIME_OR_COMPLETION,,PASS,MANUALLY_REVIEWED
ex_16b298db,미니밴드 사이드워크,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,HIP_ABDUCTION_GLUTE_MED_ACCESSORY|HIP_ABDUCTOR_GLUTE_MED_ACCESSORY|HYPERTROPHY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOLATION_ACCESSORY_STRESS|LOAD_REPS_OR_REPS,,PASS,AUTO_APPROVED
ex_1c7f2342,랜덤 풋워크,PROGRAM_SELECTABLE,SPORT_TASK_LAYER,NO,YES,YES,NO,,,Existing badminton_objective_relations.csv owns sport-task semantics.,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS|BADMINTON_FOOTWORK|FATIGUE|BADMINTON_TRANSFER|BALANCE|COURT_SPORT_MOVEMENT_STRESS|TIME_OR_DISTANCE,,SPORT_TASK_OWNER,SPORT_TASK_OWNED
ex_1cf51b6b,노르딕 햄스트링 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,NORDIC_HAMSTRING_ECCENTRIC|POSTERIOR_CHAIN_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|ECCENTRIC_TENDON_STRESS|REPS_AT_LOAD,Bootstrap PLYOMETRIC/BOUND conflicts with runtime NORDIC_HAMSTRING_ECCENTRIC.,PASS,MANUALLY_REVIEWED
ex_1dbee10e,머신 체스트프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS|HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY|STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE|HORIZONTAL_PUSH_STRESS|LOAD_REPS,,PASS,AUTO_APPROVED
ex_2055b629,애질리티 래더,PROGRAM_SELECTABLE,SPORT_TASK_LAYER,NO,YES,YES,NO,,,Existing badminton_objective_relations.csv owns sport-task semantics.,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS|BADMINTON_FOOTWORK|FATIGUE|BADMINTON_SUPPORTIVE|BALANCE|COURT_SPORT_MOVEMENT_STRESS|TIME_OR_DISTANCE,,SPORT_TASK_OWNER,SPORT_TASK_OWNED
ex_216351a1,가벼운 콕줍기,PROGRAM_SELECTABLE,SPORT_TASK_LAYER,NO,YES,YES,NO,,,Existing badminton_objective_relations.csv owns sport-task semantics.,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS|BADMINTON_FOOTWORK|FATIGUE|BADMINTON_TRANSFER|BALANCE|COURT_SPORT_MOVEMENT_STRESS|TIME_OR_DISTANCE,,SPORT_TASK_OWNER,SPORT_TASK_OWNED
ex_27b3deb5,클로즈그립 벤치프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS|TRICEPS_EMPHASIS_COMPOUND_PUSH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_PUSH_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_281347da,덤벨 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_FLEXION_BICEPS_CURL_VARIANTS|BICEPS_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_2822ec2e,레그 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,NO,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,HAMSTRING_CURL_VARIANTS|HAMSTRING_ISOLATION_ACCESSORY|HYPERTROPHY_VOLUME|FATIGUE|ISOLATION_ACCESSORY_STRESS|LOAD_REPS,,PASS,AUTO_APPROVED
ex_282a9d87,링 로우,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ROW_VARIANTS|HORIZONTAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_ROW_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_28347c1f,버드독,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ANTI_ROTATION_ANTI_EXTENSION_CORE|CORE_STABILITY_ACCESSORY|ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOMETRIC_CORE_BRACING_STRESS|TIME_OR_REPS,,CORE_OWNER,CORE_OWNED
ex_284ecca6,슈퍼맨,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,NO,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,POSTERIOR_CHAIN_LOW_LOAD_CONTROL|POSTERIOR_CHAIN_CONTROL_ACCESSORY|FATIGUE_LOW|ACCESSORY_VOLUME|CONTROL|LOW_LOAD_PREHAB_CONTROL_STRESS|REPS_OR_TIME,,CORE_OWNER,CORE_OWNED
ex_28902b13,푸시업,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,PUSH_UP_VARIANTS|UPPER_PUSH_ACCESSORY|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|BODYWEIGHT_PUSH_STRESS|REPS_AT_LOAD,,PASS,AUTO_APPROVED
ex_2892da5a,해머 컬,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS|BRACHIALIS_FOREARM_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|ISOLATION_ACCESSORY_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_2a826c82,할로우 바디 홀드,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,ANTI_ROTATION_ANTI_EXTENSION_CORE|CORE_STABILITY_ACCESSORY|ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE|ISOMETRIC_CORE_BRACING_STRESS|TIME_OR_REPS,,CORE_OWNER,CORE_OWNED
ex_30a0e9aa,원암 덤벨 로우,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ROW_VARIANTS|HORIZONTAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_ROW_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_314df428,원레그 홉 투 스틱,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,YES,NO,POWER|REACTIVE_STRENGTH_SSC,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,PLYOMETRIC_JUMP_VARIANTS|PLYOMETRIC_POWER|FATIGUE|BADMINTON_SUPPORTIVE|BALANCE|PLYOMETRIC_LANDING_STRESS|QUALITY_BASED,,PASS,MANUALLY_REVIEWED
ex_32219f7a,오버헤드 프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,OVERHEAD_PRESS_VARIANTS|OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY|STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE|OVERHEAD_PUSH_STRESS|LOAD_REPS,,PASS,AUTO_APPROVED
ex_32eb8457,원암 랫풀다운,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS|VERTICAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|VERTICAL_PULL_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_33841b88,6코너 풋워크,PROGRAM_SELECTABLE,SPORT_TASK_LAYER,NO,YES,YES,NO,,,Existing badminton_objective_relations.csv owns sport-task semantics.,FOOTWORK_SPLIT_STEP_REACTION_DRILL_VARIANTS|BADMINTON_FOOTWORK|FATIGUE|BADMINTON_TRANSFER|BALANCE|COURT_SPORT_MOVEMENT_STRESS|TIME_OR_DISTANCE,,SPORT_TASK_OWNER,SPORT_TASK_OWNED
ex_33d2da8e,원암 머신 로우,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,ROW_VARIANTS|HORIZONTAL_PULL_STRENGTH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_ROW_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_34e7d21,래터럴 바운드 투 스틱,PROGRAM_SELECTABLE,CORE_LAYER,NO,YES,YES,NO,,,Existing core_relations.csv authority owns core stimulus semantics.,LATERAL_BOUND_LANDING_DECELERATION_VARIANTS|DECELERATION_LANDING|FATIGUE|BADMINTON_SUPPORTIVE|BALANCE|PLYOMETRIC_LANDING_STRESS|QUALITY_BASED,,CORE_OWNER,CORE_OWNED
ex_377448a9,스플릿 스텝 후 좌우 런지,PROGRAM_SELECTABLE,SPORT_TASK_LAYER,NO,YES,YES,NO,,,Existing badminton_objective_relations.csv owns sport-task semantics.,BADMINTON_REACTIVE_LUNGE_FOOTWORK|BADMINTON_FOOTWORK|FATIGUE|BADMINTON_TRANSFER|BALANCE|LUNGE_DECELERATION_STRESS|TIME_OR_DISTANCE,,SPORT_TASK_OWNER,SPORT_TASK_OWNED
ex_389920ab,글루트 브릿지,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY,DIRECT_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,HIP_THRUST_GLUTE_BRIDGE_VARIANTS|GLUTE_POSTERIOR_CHAIN_ACCESSORY|FATIGUE|HYPERTROPHY_VOLUME|BALANCE|HINGE_POSTERIOR_CHAIN_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_389e0556,원암 덤벨 벤치프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS|UNILATERAL_UPPER_PUSH|FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE|HORIZONTAL_PUSH_STRESS|VOLUME_LOAD,,PASS,AUTO_APPROVED
ex_3a7d3eda,덤벨 벤치프레스,PROGRAM_SELECTABLE,GENERAL_QUALITY_RELATION,YES,YES,NO,NO,HYPERTROPHY|STRENGTH,DIRECT_CAPABILITY|SUPPORTIVE_CAPABILITY,Approved relation uses runtime family/slot/stress evidence.,BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS|HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY|STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE|HORIZONTAL_PUSH_STRESS|LOAD_REPS,,PASS,AUTO_APPROVED
