"sourceFile","line","function","analysisModule","inputField","inferredOutput","replacementRelationRequired","riskLevel"
"app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","118","fromRecord","shared metadata/data","context-dependent string/token collection",".ifEmpty { entry?.rpe?.let(::listOf) ?: emptyList() }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/ExerciseAnalysisMapper.kt","163","fromRecord","shared metadata/data","equipment","equipment = exercise.equipment.ifBlank { exercise.equipmentTags }.splitTokens(),","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","126","progressReady","OFI/readiness","context-dependent string/token collection","suspicious = suspicious.filter { issue -> issue.contains(""progress"", ignoreCase = true) },","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","145","badmintonReady","OFI/readiness","context-dependent string/token collection","suspicious = suspicious.filter { issue -> issue.contains(""badminton"", ignoreCase = true) || issue.contains(""court"", ignoreCase = true) },","ExerciseBadmintonTransferPoint / ExercisePhysicalQualityPoint","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","164","balanceReady","OFI/readiness","context-dependent string/token collection","suspicious = suspicious.filter { issue -> issue.contains(""balance"", ignoreCase = true) },","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/features/MetadataReadinessReporter.kt","220","String","OFI/readiness","context-dependent string/token collection","""SeedData.kt: legacy seed fallback heuristics, not used by new analysis mapper""","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesAnalyzer.kt","208","analyze","muscle/strength analysis","context-dependent string/token collection","warnings += ""Bayesian local projection was not estimable for every horizon; Bayesian VAR fallback is shown.""","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesAnalyzer.kt","223","analyze","muscle/strength analysis","context-dependent string/token collection","summary = ""An exploratory VAR compatibility fallback is shown because local projection diagnostics were not sufficient.""","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesModels.kt","498","validateLifecycleSemantics","muscle/strength analysis","context-dependent string/token collection","lifecycleMetadata.versionDiscontinuityRanges.any { it.contains(cell.weekStart) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesModels.kt","550","validateLifecycleSemantics","muscle/strength analysis","context-dependent string/token collection","USE_DOCUMENTED_FALLBACK","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","92","resolveObservationConflict","muscle/strength analysis","context-dependent string/token collection","else -> null","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","97","resolveObservationConflict","muscle/strength analysis","context-dependent string/token collection","?: return conflictObservation(first, provenanceCandidates, ObservationConflictSelectionRule.UNRESOLVED_CONFLICT)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","158","cellFor","muscle/strength analysis","context-dependent string/token collection","week in metadata.versionDiscontinuityWeeks || metadata.versionDiscontinuityRanges.any { it.contains(week) } -> TimeSeriesCellState.VERSION_DISCONTINUITY","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","301","transformationPlan","muscle/strength analysis","context-dependent string/token collection","""USE_DOCUMENTED_FALLBACK: required user-selected metric kept in levels after inconclusive diagnostics""","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","692","exclusionReason","muscle/strength analysis","context-dependent string/token collection","private fun exclusionReason(cell: TimeSeriesCell?, missingFallback: TimeSeriesRowExclusionReason): TimeSeriesRowExclusionReason =","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","699","exclusionReason","muscle/strength analysis","context-dependent string/token collection","TimeSeriesCellState.OBSERVED_VALUE -> if (cell.value == null) TimeSeriesRowExclusionReason.INVALID_CELL_STATE else missingFallback","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/BayesianTimeSeriesSupport.kt","700","exclusionReason","muscle/strength analysis","context-dependent string/token collection","TimeSeriesCellState.MISSING, null -> missingFallback","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/CheckInMetricSeriesBuilder.kt","37","sleepSeries","muscle/strength analysis","context-dependent string/token collection","}.ifEmpty {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/StableLinearAlgebra.kt","399","generalizedSymmetricEigenWithB","muscle/strength analysis","context-dependent string/token collection","val maxResidual = residuals.maxOrNull() ?: Double.POSITIVE_INFINITY","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesDiagnostics.kt","150","assessed","muscle/strength analysis","context-dependent string/token collection","listOfNotNull(level.inconclusiveReason, difference.inconclusiveReason).joinToString(""; "").ifBlank { null },","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesDiagnostics.kt","326","stationarity","muscle/strength analysis","context-dependent string/token collection","listOfNotNull(adf.exceptionOrNull()?.message, kpss.exceptionOrNull()?.message).joinToString(""; "").ifBlank { null }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesIngestion.kt","82","fromResolvedAlignment","muscle/strength analysis","context-dependent string/token collection","val grid = alignment.grid ?: error(""resolved alignment must carry a validated calendar grid"")","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesIngestion.kt","110","lifecycleCell","muscle/strength analysis","context-dependent string/token collection","observation.authoritativeProvenance.ifEmpty {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesIngestion.kt","119","lifecycleCell","muscle/strength analysis","context-dependent string/token collection","if (lifecycle.notApplicableRanges.any { it.contains(week) }) {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesIngestion.kt","122","lifecycleCell","muscle/strength analysis","context-dependent string/token collection","if (lifecycle.versionDiscontinuityRanges.any { it.contains(week) }) {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesStages.kt","174","validateLifecycle","muscle/strength analysis","context-dependent string/token collection","val inNotApplicable = lifecycle.notApplicableRanges.any { it.contains(cell.week) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/lab/pipeline/StrictTimeSeriesStages.kt","175","validateLifecycle","muscle/strength analysis","context-dependent string/token collection","val inDiscontinuity = lifecycle.versionDiscontinuityRanges.any { it.contains(cell.week) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt","28","calculate","shared metadata/data","context-dependent string/token collection",".filter { entry -> input.windows.future7Days.contains(entry.date) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt","99","List","shared metadata/data","context-dependent string/token collection",".ifEmpty { listOf(UNKNOWN) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonPlanProjectionMetrics.kt","142","String","shared metadata/data","context-dependent string/token collection",".split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt","128","ratioFromMovementPrefixes","shared metadata/data","context-dependent string/token collection",".filterKeys { key -> key == numerator || key.startsWith(""${numerator}_"") || key.endsWith(""_$numerator"") || key.contains(""_${numerator}_"") }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt","132","ratioFromMovementPrefixes","shared metadata/data","context-dependent string/token collection",".filterKeys { key -> key == denominator || key.startsWith(""${denominator}_"") || key.endsWith(""_$denominator"") || key.contains(""_${denominator}_"") }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt","173","String","shared metadata/data","context-dependent string/token collection",".split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonStrengthMetrics.kt","176","String","shared metadata/data","context-dependent string/token collection","return tokens.ifEmpty { listOf(UNKNOWN) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonTaxonomyMetrics.kt","69","List","shared metadata/data","context-dependent string/token collection",".ifEmpty { listOf(UNKNOWN) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonTaxonomyMetrics.kt","81","String","shared metadata/data","context-dependent string/token collection","tokensOrEmpty().ifEmpty { listOf(UNKNOWN) }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/metrics/CommonTaxonomyMetrics.kt","85","String","shared metadata/data","context-dependent string/token collection",".split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt","91","aggregate","OFI/readiness","recoveryDecayProfile","recoveryDecayProfile = features.recoveryDecayProfile.ifBlank { ""SHORT"" },","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/DailyAnalysisLoadAggregator.kt","192","Map","OFI/readiness","stableKey","val policy = DurationHoldLoadCalculator.policyFor(features.stableKey) ?: return this","movement/anatomy typed relation or explicit compatibility mapping","HIGH"
"app/src/main/java/com/training/trackplanner/analysis/readiness/FatigueDetailSectionBuilder.kt","51","categorySection","OFI/readiness","category","val item = pressure.categoryPressures[category] ?: emptyPressure(category.name)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/FatiguePresentationMapper.kt","383","List","OFI/readiness","context-dependent string/token collection","filter { reason -> fragments.any { fragment -> reason.contains(fragment, ignoreCase = true) } }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","61","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""SHOULDER"") && hasAny(""SHOULDER"", ""BENCH_OR_PUSH"", ""OVERHEAD_PRESS"") -> 1.25","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","62","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""ROTATOR"") && hasAny(""SHOULDER"", ""OVERHEAD_PRESS"") -> 1.25","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","63","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""LOW_BACK"") && hasAny(""LOW_BACK"", ""HEAVY_DEADLIFT"") -> 1.25","ExerciseOfiAxisContribution / ExerciseOfiDoseProfile","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","64","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""QUADS"") && hasAny(""KNEE"", ""HEAVY_SQUAT"", ""LUNGE_DECELERATION"") -> 1.18","ExerciseMuscleContribution","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","65","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""CALVES"") && hasAny(""CALF_ACHILLES"", ""ANKLE_FOOT"", ""JUMP_LANDING"") -> 1.18","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","66","bodyPartSensitivity","OFI/readiness","context-dependent string/token collection","key.contains(""FOREARM"") && hasAny(""WRIST_HAND"") -> 1.18","ExerciseMuscleContribution","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","138","calculate","OFI/readiness","context-dependent string/token collection","goalSensitivityProfile = GoalSensitivityProfile(profile.primaryGoal.ifBlank { ""MIXED"" }),","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/InitialAdaptationProfile.kt","256","String","OFI/readiness","context-dependent string/token collection",".ifEmpty { setOf(""NONE"") }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/PhaseAwareTodayStatus.kt","188","keyAxes","OFI/readiness","context-dependent string/token collection",".ifEmpty { summary.primaryReasons }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/ResidualFatigueCalculator.kt","180","normalizeProfile","OFI/readiness","context-dependent string/token collection","profile.trim().uppercase().takeIf { value -> value in profileOrder } ?: ""SHORT""","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/readiness/TodayReadinessEngine.kt","42","analyze","OFI/readiness","context-dependent string/token collection","val adaptiveSignals = input.adaptiveOutcomeSignals.ifEmpty {","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/PersistentStrengthPerformanceSummary.kt","274","build","muscle/strength analysis","context-dependent string/token collection","row.diagnosticsEncoded.contains(""GRID"", ignoreCase = true) ||","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/PersistentStrengthPerformanceSummary.kt","275","build","muscle/strength analysis","context-dependent string/token collection","row.diagnosticsEncoded.contains(""QUADRATURE"", ignoreCase = true)","ExerciseMuscleContribution","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/RpeRirPolicy.kt","35","resolve","muscle/strength analysis","context-dependent string/token collection","val lower = distributionsByRpe.keys.filter { it < reportedRpe }.maxOrNull() ?: return null","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/RpeRirPolicy.kt","36","resolve","muscle/strength analysis","context-dependent string/token collection","val upper = distributionsByRpe.keys.filter { it > reportedRpe }.minOrNull() ?: return null","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/RpeRirPolicy.kt","68","fromCsv","muscle/strength analysis","context-dependent string/token collection","val header = lines.first().removePrefix(""\uFEFF"").split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/RpeRirPolicy.kt","70","fromCsv","muscle/strength analysis","context-dependent string/token collection","val values = line.split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceLoadResolver.kt","53","resolve","muscle/strength analysis","context-dependent string/token collection","?: return unresolved(set.weightKg, semantics)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceLoadResolver.kt","66","resolve","muscle/strength analysis","context-dependent string/token collection","val bodyWeight = resolveBodyWeight(date) ?: return unresolved(rawLoad, semantics)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceLoadResolver.kt","71","resolve","muscle/strength analysis","context-dependent string/token collection","else -> error(""Unexpected bodyweight load semantics: $semantics"")","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","165","rows","muscle/strength analysis","context-dependent string/token collection","val header = lines.first().removePrefix(""\uFEFF"").split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","167","rows","muscle/strength analysis","context-dependent string/token collection","val values = line.split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","177","Map","muscle/strength analysis","name","get(name).orEmpty().split('|').map(String::trim).filter(String::isNotEmpty)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt","181","Map","muscle/strength analysis","context-dependent string/token collection","val parts = token.split(':', limit = 2)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPosteriorModel.kt","83","decode","muscle/strength analysis","context-dependent string/token collection","val fields = encoded.split('|').associate { token ->","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPosteriorModel.kt","84","decode","muscle/strength analysis","context-dependent string/token collection","val pair = token.split('=', limit = 2)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPosteriorModel.kt","342","fromEntity","muscle/strength analysis","context-dependent string/token collection","val schema = entity.orderedFactorSchema.split('|').filter(String::isNotEmpty).map(::StrengthFactorKey)","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthSessionLikelihood.kt","488","build","muscle/strength analysis","context-dependent string/token collection","val selected = if (strong.isNotEmpty()) strong else successful.ifEmpty { failures }","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","33","<file>","muscle/strength analysis","context-dependent string/token collection","GENERAL_FALLBACK,","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","152","resolve","muscle/strength analysis","context-dependent string/token collection","matchLevel = CurveMatchLevel.GENERAL_FALLBACK,","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","154","resolve","muscle/strength analysis","context-dependent string/token collection","assignmentVersion = ""runtime-general-fallback-1.0.0"",","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","192","fromAssets","muscle/strength analysis","context-dependent string/token collection","val range = row.required(""supportedRepRange"").split("".."")","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","243","csvRows","muscle/strength analysis","context-dependent string/token collection","val header = lines.first().removePrefix(""\uFEFF"").split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthperformance/curve/RepetitionCurves.kt","245","csvRows","muscle/strength analysis","context-dependent string/token collection","val values = line.split(',')","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
"app/src/main/java/com/training/trackplanner/analysis/strengthproxyprior/StrengthProxyPriorRegistry.kt","111","fromRows","shared metadata/data","context-dependent string/token collection","sharedFactorLoadings = row.required(""sharedFactorLoadings"").split('|').associate { token ->","movement/anatomy typed relation or explicit compatibility mapping","MEDIUM"
