"issueId","scopeType","exerciseStableKey","legacyField","affectedModule","affectedConsumer","observedCurrentBehavior","expectedOrTargetBehavior","derivationMode","severity","parityImpact","resolutionClass","status","proposedResolution","targetVersion","evidenceLocations"
"META-ACTIVITY-NAME-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","activityKind","program generation","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt#Exercise","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 5","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:36;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:70;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:75;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:77;app/src/main/java/com/training/trackplanner/data/ExercisePlanning.kt:94"
"META-PROGRAM-SLOT-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","programSlot","program generation","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt#resolve","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 8","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:25;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:32;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:36;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:44;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:53;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:58;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:68;app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:72"
"META-PROGRAM-SLOT-NAME","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","programSlot","program generation","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt#explicitNameFallback","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/SlotCapabilityResolver.kt:141"
"META-MUSCLE-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","primaryMuscles","muscle/strength analysis","app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt#fallbackContributions","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 2","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt:87;app/src/main/java/com/training/trackplanner/analysis/lab/MuscleLoadInputBuilder.kt:147"
"META-PROGRAM-LOADED-NAME","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","equipment and exerciseName","program generation","app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt#isLoadedStrength","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","STRUCTURAL_AMBIGUITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/ProgramEvaluationPolicy.kt:261"
"META-PROGRAM-RERANK-LOADED-NAME","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","exerciseName","program generation","app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt#needsLoadedStrength","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","STRUCTURAL_AMBIGUITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/ProgramCandidateRerankingPolicy.kt:54"
"META-BADMINTON-LEVEL-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","badmintonTransferLevel","badminton analysis","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt#transferType","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","MEDIUM","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","CURRENT_BUG_PRESERVED","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/analysis/badminton/BadmintonTransferMetadataMapper.kt:7"
"META-OFI-RECOVERY-DEFAULT","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","recoveryDurationClass","OFI/readiness","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt#RecordContext","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","MEDIUM","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","MISSING_AUTHORITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/analysis/fatigue/DailyFatigueCalculator.kt:163"
"META-BADMINTON-MUSCLE-INFERENCE","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","badminton and balance relations","badminton analysis","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt#MetadataSource","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 8","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","STRUCTURAL_AMBIGUITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:384;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:599;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:683;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:707;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:714;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:796;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:799;app/src/main/java/com/training/trackplanner/data/ExerciseMetadataMapper.kt:845"
"META-STRENGTH-PROXY-FALLBACK","LEGACY_INFERENCE_PATH","ALL_OR_CONTEXT_DEPENDENT","strength proxy relation","muscle/strength analysis","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt#proxyLoadings","Current classifier manufactures or substitutes metadata from legacy fallback input; matching audit lines: 1","Use an explicit stableKey relation; otherwise remain UNRESOLVED in REVIEWED_V1","LEGACY_HEURISTIC_FALLBACK","HIGH","BASELINE_V1 behavior must remain reproducible until reviewed correction approval","MISSING_AUTHORITY","OPEN","Review the exact consumer and approve a stableKey-level relation before any production cutover","REVIEWED_V1_FOLLOW_UP","app/src/main/java/com/training/trackplanner/analysis/strengthperformance/StrengthPerformanceRegistry.kt:87"
