"currentConcept","sourceStorage","decisionStatus","targetConcept","logicalQuestion","decisionReason","koreanRegistryEligible","reviewStatus","notes"
"decelerationWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"defaultRestSeconds","Room exercises","PROGRAM_PARAMETER","ExerciseProgramTimingProfile","What default rest supports program time budgeting?","Approved fixed program parameter","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"description","Room exercises","PRESENTATION_ONLY","ExerciseDescription","How is the exercise explained?","Educational display text","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"detail1","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"detail2","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"elasticSscWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"equipment","Room exercises","SPLIT","ExerciseEquipmentRequirement|EquipmentRef","Which equipment relation is required optional or alternative?","Normalize legacy display tokens into equipment relations","YES","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"equipmentTags","Room exercises","SPLIT","ExerciseEquipmentRequirement|EquipmentRef","Which equipment relation is required optional or alternative?","Normalize token list into equipment relations","YES","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"estimated1RmEligible","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"exerciseName","canonical asset plus Room runtime_exercise_metadata override","PRESENTATION_ONLY","ExerciseDisplayName","How is the exercise displayed?","Display text is not classification","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"familyE1rmMultiplier","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"familyId","Room exercises","DERIVE","NONE","Which purpose-specific similarity relation is needed?","Approved DERIVED_NONCANONICAL disposition","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"familyName","Room exercises","PRESENTATION_ONLY","NONE","How was the legacy family displayed?","Legacy family display only","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"familyRole","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"fatigueCategories","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"finalSourceStatus","canonical asset plus Room runtime_exercise_metadata override","DEPRECATE","RelationProvenance","What evidence and review status supports each relation?","Move provenance to each relation","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"forceType","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"gripLoadWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"hypertrophyVolumeGroup","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"imageAssetName","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"isActive","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"isCustom","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"jointImpactStressTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"jointStressTags","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"jointTendonImpactStressLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"laterality","Room exercises","KEEP","LateralityRef","What fixed laterality describes the exercise?","Level 1 kinematic classification","YES","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"ligamentJointStabilityStressTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"loadProfile","Room exercises","SPLIT","ConsumerSpecificTypedRelations","Which independent load or movement property is represented?","Approved legacy composite decomposition","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"localLoadWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"localMuscularStressLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"mainLiftGroup","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"metadataConfidence","Room exercises","DEPRECATE","RelationProvenance","What evidence and review status supports each relation?","Single scalar confidence cannot represent relation provenance","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"mobilityDemandLevel","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"mode","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"movementCategory","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"movementFamily","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"movementFocusDemandLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"movementPattern","Room exercises","SPLIT","MovementPatternRef|MovementEventRef|MovementPhaseRef","Which movement pattern event or phase applies?","Legacy token field mixes Level 1 questions","YES","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"movementSubtype","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"name","Room exercises","PRESENTATION_ONLY","ExerciseDisplayName","How is the exercise displayed?","Display text is not classification","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"needsReview","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"neuralHeavyWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"neuralSpeedWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"neuromuscularStressLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"overheadSwingWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"plane","Room exercises","KEEP","MovementPlaneRef","In which movement plane is the exercise primarily performed?","Level 1 kinematic classification","YES","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"planningEligibility","canonical asset plus Room runtime_exercise_metadata override;Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"primaryMuscles","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"primaryStressProfile","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"programSlot","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"progressMetricType","canonical asset plus Room runtime_exercise_metadata override;Room exercises","LEGACY_ONLY","NONE","Which legacy progress protocol selector applies?","Compatibility only and not canonical exercise metadata","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"recoveryDecayProfile","canonical asset plus Room runtime_exercise_metadata override;Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"recoveryDurationClass","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"redundancyGroup","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"rotationPowerWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"safeForSeedMutation","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"secondaryMuscles","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"secondaryStressTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"sourceConfidenceLevel","canonical asset plus Room runtime_exercise_metadata override","DEPRECATE","RelationProvenance","What evidence and review status supports each relation?","Single scalar confidence cannot represent relation provenance","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"sportContextTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"sportTransferDirect","Room exercises","KEEP","SportTransferDirectRef","Does an approved direct-transfer relation exist?","Closed-world exact whitelist","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"sportTransferSupportive","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"stabilityDemandLevel","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"stabilityRoles","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"stableKey","canonical asset plus Room runtime_exercise_metadata override;Room exercises","KEEP","ExerciseIdentity","Which exercise identity is this?","Canonical identity key","NO","PHASE_2A1_REVIEWED","Phase 2A.1 decision"
"strengthProgressionGroup","canonical asset plus Room runtime_exercise_metadata override;Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"stressMagnitudeHint","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"systemicLoadWeight","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"systemicMuscularStressLevel","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"tendonStressTags","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"transferConfidence","canonical asset plus Room runtime_exercise_metadata override","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
"volumeLoadEligible","Room exercises","UNRESOLVED","UNRESOLVED","Consumer-specific semantic review required","No Phase 2A.1 approval","NO","REVIEW_REQUIRED","Do not auto-promote or auto-translate"
