relationId,exerciseStableKey,qualityId,relationLevel,regionQualifier,modeQualifier,prescriptionDependent,provenance,evidenceRelationKeys,reviewStatus,notes
pq_069,cable_hip_adduction,HYPERTROPHY,DIRECT_CAPABILITY,LOWER,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:HIP_ADDUCTION_ACCESSORY,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_070,cable_overhead_triceps_extension,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:OVERHEAD_TRICEPS_LONG_HEAD,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_071,cable_rear_delt_fly,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_073,chest_supported_row_machine,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_072,chest_supported_row_machine,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_075,dumbbell_chest_supported_row,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_074,dumbbell_chest_supported_row,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_258,dumbbell_farmer_carry,MUSCULAR_ENDURANCE,SUPPORTIVE_CAPABILITY,SYSTEMIC,CONDITIONING,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:LOADED_CARRY_BRACING_STRESS|runtime:DISTANCE_OR_TIME_LOAD,PASS,Supportive endurance capability under distance/time carry prescription.
pq_007,dumbbell_goblet_squat,HYPERTROPHY,DIRECT_CAPABILITY,LOWER,SQUAT,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:HYPERTROPHY_VOLUME,PASS,Direct lower-body volume capability.
pq_006,dumbbell_goblet_squat,STRENGTH,SUPPORTIVE_CAPABILITY,LOWER,SQUAT,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:STRENGTH_PROGRESS,PASS,Supportive general strength capability; not a main maximal-strength authority.
pq_076,dumbbell_lying_triceps_extension,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_077,dumbbell_overhead_triceps_extension,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:OVERHEAD_TRICEPS_LONG_HEAD,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_078,dumbbell_preacher_curl,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BICEPS_CURL_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_079,dumbbell_rear_delt_fly,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_027,dumbbell_reverse_wrist_curl,MUSCULAR_ENDURANCE,SUPPORTIVE_CAPABILITY,FOREARM_GRIP,WRIST_EXTENSION,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:GRIP_ENDURANCE|runtime:WRIST_CONTROL_LOAD,PASS,Supportive endurance capability only under high-repetition or time-based prescription.
pq_026,dumbbell_reverse_wrist_curl,STRENGTH,DIRECT_CAPABILITY,FOREARM_GRIP,WRIST_EXTENSION,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:FOREARM_GRIP_ACCESSORY|runtime:WRIST_CONTROL_LOAD,PASS,Local forearm/wrist strength capability; no GRIP_STRENGTH taxonomy token.
pq_081,dumbbell_romanian_deadlift,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DEADLIFT_HINGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_080,dumbbell_romanian_deadlift,STRENGTH,SUPPORTIVE_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:DUMBBELL_RDL_HINGE_ACCESSORY|runtime:POSTERIOR_CHAIN_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_083,dumbbell_single_leg_rdl,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DEADLIFT_HINGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_082,dumbbell_single_leg_rdl,STRENGTH,SUPPORTIVE_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:SINGLE_LEG_HINGE_STABILITY|runtime:UNILATERAL_HINGE_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_084,dumbbell_spider_curl,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BICEPS_CURL_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_085,ex_1052e9fa,HYPERTROPHY,DIRECT_CAPABILITY,LOWER,SQUAT,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:LUNGE_SPLIT_SQUAT_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_042,ex_149730de,MOBILITY_ROM,DIRECT_CAPABILITY,JOINT_ROM,MOBILITY_CONTROL,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:MOBILITY_RECOVERY_STRESS|runtime:RECOVERY_CONTEXT|runtime:MOBILITY,PASS,Explicit mobility/recovery runtime authority.
pq_086,ex_16b298db,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:HIP_ABDUCTION_GLUTE_MED_ACCESSORY,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_009,ex_1cf51b6b,HYPERTROPHY,DIRECT_CAPABILITY,HAMSTRING,ECCENTRIC,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:NORDIC_HAMSTRING_ECCENTRIC|runtime:HYPERTROPHY_VOLUME,PASS,Eccentric hamstring volume capability; prescription-dependent.
pq_008,ex_1cf51b6b,STRENGTH,DIRECT_CAPABILITY,HAMSTRING,ECCENTRIC,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:NORDIC_HAMSTRING_ECCENTRIC|runtime:POSTERIOR_CHAIN_ACCESSORY,PASS,Runtime authority overrides legacy bootstrap movement labels.
pq_088,ex_1dbee10e,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_087,ex_1dbee10e,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PUSH_COMPOUND|runtime:HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_090,ex_27b3deb5,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_089,ex_27b3deb5,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:CLOSE_GRIP_BENCH_TRICEPS_PUSH|runtime:TRICEPS_EMPHASIS_COMPOUND_PUSH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_091,ex_281347da,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BICEPS_CURL_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_092,ex_2822ec2e,HYPERTROPHY,DIRECT_CAPABILITY,HAMSTRING,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:HAMSTRING_CURL_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_094,ex_282a9d87,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_093,ex_282a9d87,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_096,ex_28902b13,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:PUSH_UP_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_095,ex_28902b13,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:BODYWEIGHT_HORIZONTAL_PUSH|runtime:UPPER_PUSH_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_097,ex_2892da5a,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_099,ex_30a0e9aa,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_098,ex_30a0e9aa,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_022,ex_314df428,POWER,DIRECT_CAPABILITY,UNILATERAL_LOWER,PLYOMETRIC,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:PLYOMETRIC_JUMP_VARIANTS|runtime:PLYOMETRIC_LANDING_STRESS,PASS,Direct unilateral jump power capability.
pq_023,ex_314df428,REACTIVE_STRENGTH_SSC,DIRECT_CAPABILITY,UNILATERAL_LOWER,LANDING,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:PLYOMETRIC_LANDING_STRESS|runtime:CALF_ANKLE_SSC_LOAD,PASS,Direct unilateral SSC capability; landing context remains mechanical metadata.
pq_101,ex_32219f7a,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:OVERHEAD_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_100,ex_32219f7a,STRENGTH,SUPPORTIVE_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:OVERHEAD_PRESS_SHOULDER_DOMINANT|runtime:OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_103,ex_32eb8457,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_102,ex_32eb8457,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:VERTICAL_PULL_COMPOUND|runtime:VERTICAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_105,ex_33d2da8e,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_104,ex_33d2da8e,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_106,ex_389920ab,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:HIP_THRUST_GLUTE_BRIDGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_108,ex_389e0556,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_107,ex_389e0556,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:UNILATERAL_HORIZONTAL_PUSH|runtime:UNILATERAL_UPPER_PUSH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_110,ex_3a7d3eda,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_109,ex_3a7d3eda,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PUSH_COMPOUND|runtime:HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_112,ex_3c3692aa,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_111,ex_3c3692aa,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_114,ex_3caa236b,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:BODYWEIGHT_VERTICAL_PUSH_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_113,ex_3caa236b,STRENGTH,SUPPORTIVE_CAPABILITY,UPPER_PUSH,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:BODYWEIGHT_VERTICAL_PUSH|runtime:BODYWEIGHT_VERTICAL_PUSH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_115,ex_3d5719de,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_FLEXION_BICEPS_CURL_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_034,ex_3f184ef9,CARDIORESPIRATORY_FITNESS,DIRECT_CAPABILITY,SYSTEMIC,CONDITIONING,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:CARDIO_CONDITIONING_STRESS|runtime:CONDITIONING,PASS,Direct conditioning capability; prescription determines duration/intensity.
pq_117,ex_40fa57be,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_116,ex_40fa57be,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_118,ex_442617f6,HYPERTROPHY,DIRECT_CAPABILITY,CHEST,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:CHEST_ISOLATION,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_120,ex_462c760e,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ROW_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_119,ex_462c760e,STRENGTH,DIRECT_CAPABILITY,UPPER_PULL,PULL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HORIZONTAL_PULL_COMPOUND|runtime:HORIZONTAL_PULL_STRENGTH,PASS,Runtime strength progression with primary/accessory level preserved.
pq_035,ex_4773b6ea,CARDIORESPIRATORY_FITNESS,DIRECT_CAPABILITY,SYSTEMIC,CONDITIONING,YES,REVIEWED_RUNTIME_METADATA_2026_09,runtime:CARDIO_CONDITIONING_STRESS|runtime:CONDITIONING,PASS,Direct conditioning capability; prescription determines duration/intensity.
pq_122,ex_4aa3725a,HYPERTROPHY,DIRECT_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:OVERHEAD_PRESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_121,ex_4aa3725a,STRENGTH,SUPPORTIVE_CAPABILITY,SHOULDERS,VERTICAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:OVERHEAD_PRESS_SHOULDER_DOMINANT|runtime:OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_124,ex_4c76dbb2,HYPERTROPHY,DIRECT_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DEADLIFT_HINGE_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_123,ex_4c76dbb2,STRENGTH,SUPPORTIVE_CAPABILITY,POSTERIOR_CHAIN,HINGE,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HIP_EXTENSION_ACCESSORY|runtime:POSTERIOR_CHAIN_ACCESSORY,PASS,Runtime strength progression with primary/accessory level preserved.
pq_125,ex_4c779df2,HYPERTROPHY,DIRECT_CAPABILITY,CHEST,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:CHEST_ISOLATION,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_126,ex_5322f2d1,HYPERTROPHY,DIRECT_CAPABILITY,ARMS,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_127,ex_5c8751d2,HYPERTROPHY,DIRECT_CAPABILITY,ANKLE,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_128,ex_5ca7133f,HYPERTROPHY,DIRECT_CAPABILITY,ANKLE,GENERAL,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
pq_130,ex_6463edad,HYPERTROPHY,DIRECT_CAPABILITY,UPPER_PUSH,HORIZONTAL_PRESS,YES,RUNTIME_AUTHORITY_AUDIT_2026_09,runtime:HYPERTROPHY_VOLUME|runtime:DIP_COMPOUND_PUSH_VARIANTS,PASS,Explicit resistance-volume family; realized hypertrophy remains prescription-dependent.
