stableKey,name,category,detail1,detail2,mode,description,defaultRestSeconds,familyId,familyName,familyRole,familyE1rmMultiplier,movementPattern,movementCategory,primaryMuscles,secondaryMuscles,equipment,equipmentTags,compoundType,forceType,bodyRegion,plane,laterality,axialLoadLevel,stabilityRoles,sportTransferDirect,sportTransferSupportive,badmintonTransferRoles,fatigueCategories,adaptiveBaselineGroups,accessoryRoles,loadProfile,recoveryDecayProfile,systemicLoadWeight,neuralHeavyWeight,neuralSpeedWeight,localLoadWeight,decelerationWeight,elasticSscWeight,rotationPowerWeight,antiRotationWeight,overheadSwingWeight,gripLoadWeight,progressMetricType,strengthProgressionGroup,hypertrophyVolumeGroup,mainLiftGroup,accessoryContributionGroup,estimated1RmEligible,volumeLoadEligible,badmintonTransferStrength,courtMovementTypes,badmintonSkillTargets,jointStressTags,stabilityDemandLevel,mobilityDemandLevel,balanceContributionTags,analysisEligibility,activityKind,planningEligibility,metadataConfidence,imageAssetName,isActive,archivedAt,isCustom,needsReview
ex_32219f7a,오버헤드 프레스,근력운동,전면삼각근/측면삼각근,삼두근/코어,"바벨, 무게*횟수","오버헤드 프레스: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 전면삼각근/측면삼각근이고, 삼두근/코어이 흔들리지 않게 보조한다.",120,vertical_press,수직 프레스,PRIMARY,1,PUSH_VERTICAL,STRENGTH,"ANTERIOR_DELTOID,LATERAL_DELTOID,TRICEPS,CORE",DEEP_CORE,BARBELL,BARBELL,COMPOUND,PUSH,UPPER,SAGITTAL,BILATERAL,HIGH,"CORE_STABILITY,ANTI_ROTATION",,"COD_SUPPORT,TRUNK_CONTROL_SUPPORT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,OVERHEAD_REPETITION","SYSTEMIC,UPPER_PUSH,SHOULDER_OVERHEAD","SHOULDER_ISOLATION,ARM_ACCESSORY,TRICEPS_ISOLATION,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0.5,0,ESTIMATED_1RM,UPPER_PUSH_VERTICAL,SHOULDERS,OVERHEAD_PRESS,UPPER_PUSH_ACCESSORY,YES,YES,NONE,NONE,NONE,"SHOULDER,ELBOW",LOW,MODERATE,"UPPER_PUSH,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_32eb8457,원암 랫풀다운,근력운동,광배근,이두근/하부승모근/코어,"케이블, 한팔 무게*횟수",한 팔씩 위에서 아래로 당겨 팔꿈치를 옆구리 쪽으로 보낸다. 광배근 좌우 차이를 확인하기 쉽다.,75,vertical_pull,vertical pull,PRIMARY,1,PULL_HORIZONTAL,STRENGTH,"LAT,LOWER_TRAP,TRAPEZIUS,BICEPS,CORE",DEEP_CORE,CABLE,CABLE,COMPOUND,PULL,UPPER,FRONTAL,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION",,TRUNK_CONTROL_SUPPORT,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",UPPER_PULL,"ARM_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PULL_HORIZONTAL,BACK,ROW,UPPER_PULL_ACCESSORY,YES,YES,NONE,NONE,NONE,ELBOW,HIGH,LOW,"UPPER_PULL,UNILATERAL_UPPER,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_33841b88,6코너 풋워크,기능성운동,풋워크/가속/감속/회복,코트 또는 콘,시간,코트 여섯 방향으로 이동하고 중앙으로 회복한다. 배드민턴의 기본 이동 패턴과 방향전환·감속·회복 리듬을 반복한다.,60,badminton_footwork,badminton footwork,PRIMARY,1,FOOTWORK,REACTIVE,CORE,CORE,CONE_MARKER,CONE_MARKER,DRILL,ACCELERATE,TRUNK,MULTI_PLANAR,BILATERAL,NONE,,BADMINTON_FOOTWORK|DECELERATION|CHANGE_OF_DIRECTION|COURT_CONDITIONING,DECELERATION_SUPPORT|BADMINTON_SUPPORT_LIGHT,"FOOTWORK,REACTION,DECELERATION,CONDITIONING","SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE,DECELERATION","BADMINTON_COURT,DECELERATION",,MODERATE_LOAD,LONG,0.5,0.5,0.75,0.5,0.75,0,0,0,0,0,QUALITY_BASED,BADMINTON_TEST,CORE,NONE,BADMINTON_SUPPORT,NO,NO,DIRECT,"MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK_SPEED,FIRST_STEP_REACTION,DECELERATION_CONTROL,CONDITIONING","KNEE,ANKLE_ACHILLES",HIGH,LOW,ANKLE_STIFFNESS,"FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_33d2da8e,원암 머신 로우,근력운동,광배근/능형근,후면삼각근/이두근,"머신, 한팔 무게*횟수",머신 핸들을 한쪽씩 당긴다. 궤도가 안정돼 있어 고중량에서도 좌우 등 사용량을 따로 보기 쉽다.,75,row,로우,PRIMARY,1.12,PULL_HORIZONTAL,STRENGTH,"LAT,BACK,RHOMBOID,REAR_DELT,BICEPS",CORE,MACHINE,MACHINE,COMPOUND,PULL,UPPER,TRANSVERSE,UNILATERAL,NONE,,,,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",UPPER_PULL,"ARM_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PULL_HORIZONTAL,BACK,ROW,UPPER_PULL_ACCESSORY,YES,YES,NONE,NONE,NONE,ELBOW,HIGH,LOW,"UPPER_PULL,UNILATERAL_UPPER,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_34e7d21,래터럴 바운드 투 스틱,기능성운동,측면파워/감속/방향전환,맨몸,횟수 또는 시간,한쪽으로 바운드한 뒤 착지마다 완전히 멈춰 무릎·고관절 정렬과 감속 통제를 확인한다.,75,래터럴_바운드_투_스틱,래터럴 바운드 투 스틱,PRIMARY,1,BOUND,PLYOMETRIC,"GLUTE,QUADRICEPS,CALF",CORE,BODYWEIGHT,BODYWEIGHT,DRILL,DECELERATE,LOWER,FRONTAL,BILATERAL,NONE,"KNEE_CONTROL,LANDING_STABILITY",DECELERATION|LANDING_CONTROL|LATERAL_MOVEMENT|CHANGE_OF_DIRECTION,DECELERATION_SUPPORT|LANDING_SUPPORT|COD_SUPPORT|TRUNK_CONTROL_SUPPORT,"DECELERATION,JUMP_LANDING","SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE,DECELERATION,ELASTIC_SSC","BADMINTON_COURT,DECELERATION,ELASTIC_SSC",,PLYOMETRIC_JUMP,LONG,0.5,0.5,0.5,0.5,0.75,0.75,0,0,0,0,QUALITY_BASED,NONE,QUADS,NONE,BADMINTON_SUPPORT,NO,NO,DIRECT,"DECELERATION,JUMP_LANDING,LATERAL_MOVE,RECOVERY_STEP","DECELERATION_CONTROL,JUMP_LANDING_CONTROL","HIP,KNEE,ANKLE_ACHILLES",HIGH,LOW,"CALF_ACHILLES,HIP_STABILITY,KNEE_CONTROL,ANKLE_STIFFNESS","FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_377448a9,스플릿 스텝 후 좌우 런지,기능성운동,첫스텝/좌우런지/감속,코트 또는 콘,횟수 또는 시간,스플릿 스텝 후 좌우 중 한 방향으로 런지하고 균형을 잡는다. 배드민턴 수비 첫 발과 감속을 함께 연습한다.,60,lunge,lunge,PRIMARY,1,SQUAT,STABILITY,CORE,DEEP_CORE,CONE_MARKER,CONE_MARKER,COMPOUND,SQUAT,TRUNK,SAGITTAL,UNILATERAL,MODERATE,,,"DECELERATION_SUPPORT,BADMINTON_SUPPORT_LIGHT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,HEAVY_LOWER,SQUAT_PATTERN","LEG_ACCESSORY,HYPERTROPHY_ACCESSORY",SINGLE_LEG_BALANCE_DEMAND,VERY_LONG,0.75,0.75,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,SQUAT,CORE,SQUAT,LOWER_ACCESSORY,YES,YES,NONE,NONE,NONE,"HIP,KNEE",HIGH,LOW,"LOWER_PUSH,SQUAT_PATTERN,ANTERIOR_CHAIN,UNILATERAL_LOWER","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_389920ab,글루트 브릿지,근력운동,둔근,햄스트링/코어,"맨몸 또는 바벨, 횟수 또는 무게*횟수",등을 바닥에 두고 엉덩이를 들어 올린다. 허리를 꺾지 않고 둔근으로 골반을 펴는 감각을 확인한다.,75,글루트_브릿지,글루트 브릿지,PRIMARY,1,HINGE,STRENGTH,"BACK,HAMSTRING,GLUTE,CORE",DEEP_CORE,"BARBELL,TRX_RING,BODYWEIGHT","BARBELL,TRX_RING,BODYWEIGHT",COMPOUND,HINGE,WHOLE_BODY,SAGITTAL,BILATERAL,HIGH,"CORE_STABILITY,ANTI_ROTATION,HIP_STABILITY,PELVIC_STABILITY",,"HIP_STABILITY_SUPPORT,TRUNK_CONTROL_SUPPORT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE","SYSTEMIC,HEAVY_LOWER,HINGE","BACK_ACCESSORY,POSTERIOR_CHAIN_ACCESSORY,HYPERTROPHY_ACCESSORY",HIGH_AXIAL_LOAD,VERY_LONG,0.75,0.75,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,HINGE,BACK,DEADLIFT,POSTERIOR_CHAIN_ACCESSORY,YES,YES,NONE,NONE,NONE,"LOW_BACK,HIP",LOW,LOW,"LOWER_PULL,HINGE,POSTERIOR_CHAIN,HIP_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_389e0556,원암 덤벨 벤치프레스,근력운동,대흉근,전면삼각근/삼두근/코어,"덤벨, 한팔 무게*횟수",한쪽 팔로 덤벨을 밀어 올리며 몸통이 돌아가지 않게 버틴다. 가슴 프레스와 좌우 안정성을 함께 기록하기 좋다.,90,bench_press,벤치프레스,PRIMARY,1.22,PUSH_HORIZONTAL,STRENGTH,"CHEST,ANTERIOR_DELTOID,TRICEPS,CORE,DEEP_CORE",DEEP_CORE,"DUMBBELL,BENCH","DUMBBELL,BENCH",COMPOUND,PUSH,UPPER,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,TRUNK_CONTROL",,TRUNK_CONTROL_SUPPORT,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",UPPER_PUSH,"ARM_ACCESSORY,TRICEPS_ISOLATION,CHEST_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PUSH_HORIZONTAL,CHEST,BENCH_PRESS,UPPER_PUSH_ACCESSORY,YES,YES,NONE,NONE,NONE,"SHOULDER,ELBOW",HIGH,LOW,"UPPER_PUSH,UNILATERAL_UPPER","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_3a7d3eda,덤벨 벤치프레스,근력운동,대흉근,삼두근/전면삼각근,"덤벨, 무게*횟수",양손 덤벨을 가슴 옆까지 낮춘 뒤 위로 민다. 로니 콜먼식 고중량 덤벨 프레스 계열의 기본형이다.,90,bench_press,벤치프레스,PRIMARY,1.22,PUSH_HORIZONTAL,STRENGTH,"CHEST,ANTERIOR_DELTOID,TRICEPS",CORE,"DUMBBELL,BENCH","DUMBBELL,BENCH",COMPOUND,PUSH,UPPER,TRANSVERSE,BILATERAL,NONE,,,,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",UPPER_PUSH,"ARM_ACCESSORY,TRICEPS_ACCESSORY,TRICEPS_ISOLATION,CHEST_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PUSH_HORIZONTAL,CHEST,BENCH_PRESS,UPPER_PUSH_ACCESSORY,YES,YES,NONE,NONE,NONE,"SHOULDER,ELBOW",LOW,LOW,UPPER_PUSH,"FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_3c3692aa,케이블 원암 로우,근력운동,광배근/능형근,이두근/후면삼각근/코어,"케이블, 무게*횟수","케이블 원암 로우: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 광배근/능형근이고, 이두근/후면삼각근/코어이 흔들리지 않게 보조한다.",75,row,로우,PRIMARY,1.12,PULL_HORIZONTAL,STRENGTH,"LAT,RHOMBOID,REAR_DELT,BICEPS,CORE",DEEP_CORE,CABLE,CABLE,COMPOUND,PULL,UPPER,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION",,TRUNK_CONTROL_SUPPORT,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",UPPER_PULL,"ARM_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0,ESTIMATED_1RM,UPPER_PULL_HORIZONTAL,BACK,ROW,UPPER_PULL_ACCESSORY,YES,YES,NONE,NONE,NONE,ELBOW,HIGH,LOW,"UPPER_PULL,UNILATERAL_UPPER,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_3caa236b,파이크 푸시업,근력운동,전면삼각근/측면삼각근,삼두근/상부승모근/코어,"맨몸, 횟수",엉덩이를 높이고 머리가 바닥 쪽으로 내려가게 밀어낸다. 맨몸으로 오버헤드 프레스 패턴을 연습한다.,75,파이크_푸시업,파이크 푸시업,PRIMARY,1,PUSH_VERTICAL,STRENGTH,"TRAPEZIUS,ANTERIOR_DELTOID,LATERAL_DELTOID,TRICEPS,GLUTE,CORE",DEEP_CORE,BODYWEIGHT,BODYWEIGHT,COMPOUND,PUSH,WHOLE_BODY,SAGITTAL,BILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION",,"COD_SUPPORT,TRUNK_CONTROL_SUPPORT",NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,OVERHEAD_REPETITION","UPPER_PUSH,SHOULDER_OVERHEAD","SHOULDER_ISOLATION,ARM_ACCESSORY,TRICEPS_ISOLATION,HYPERTROPHY_ACCESSORY",SHOULDER_STRESS_LOW,SHORT,0.5,0.5,0,0.5,0,0,0,0,0.5,0,ESTIMATED_1RM,UPPER_PUSH_VERTICAL,SHOULDERS,OVERHEAD_PRESS,UPPER_PUSH_ACCESSORY,YES,YES,NONE,NONE,NONE,"SHOULDER,ELBOW,HIP",LOW,MODERATE,"UPPER_PUSH,SCAPULAR_STABILITY,HIP_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_3d5719de,원암 케이블 컬,근력운동,이두근,전완근/코어,"케이블, 한팔 무게*횟수",케이블 손잡이를 한 팔씩 말아 올린다. 팔꿈치를 고정해 좌우 이두 수축 차이를 보기 쉽다.,60,원암_케이블_컬,원암 케이블 컬,PRIMARY,1,ANTI_ROTATION,HYPERTROPHY,"BICEPS,FOREARM,CORE",DEEP_CORE,CABLE,CABLE,HYBRID,BRACE,UPPER,SAGITTAL,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION",,"TRUNK_CONTROL_SUPPORT,GRIP_FOREARM_SUPPORT","ANTI_ROTATION_STABILITY,GRIP_FOREARM","SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,ANTI_ROTATION,GRIP_FOREARM","GRIP_FOREARM,ANTI_ROTATION","ARM_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,MEDIUM,0.5,0.5,0,0.75,0,0,0,0.75,0,0.75,VOLUME_LOAD,CORE,ARMS,NONE,GRIP_FOREARM,NO,YES,SUPPORTIVE,NONE,"ANTI_ROTATION_STABILITY,GRIP_ENDURANCE","ELBOW,WRIST",HIGH,LOW,"ANTI_ROTATION,UNILATERAL_LOWER,GRIP_FOREARM","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_3f184ef9,버피,기능성운동,전신컨디셔닝/파워/심폐,맨몸,횟수 또는 시간,"버피: 전신컨디셔닝/파워/심폐을 목표로 짧고 선명하게 수행한다. 속도보다 착지, 정지, 몸통 안정성을 먼저 확인한다.",45,버피,버피,PRIMARY,1,LOCOMOTION,CONDITIONING,"CORE,DEEP_CORE",DEEP_CORE,BODYWEIGHT,BODYWEIGHT,COMPOUND,ACCELERATE,WHOLE_BODY,SAGITTAL,BILATERAL,NONE,"TRUNK_CONTROL,LANDING_STABILITY",,"LANDING_SUPPORT,TRUNK_CONTROL_SUPPORT",CONDITIONING,"SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE",BADMINTON_COURT,,MODERATE_LOAD,MEDIUM,0.5,0.5,0.5,0.5,0,0,0,0,0,0,TIME_OR_DISTANCE,NONE,CORE,NONE,BADMINTON_SUPPORT,NO,NO,GENERAL,RECOVERY_STEP,CONDITIONING,,HIGH,LOW,,"FATIGUE,BADMINTON_TRANSFER",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_40fa57be,원암 케이블 하이 로우,근력운동,광배근/하부승모근,능형근/후면삼각근/코어,"케이블, 한팔 무게*횟수",높은 케이블을 한쪽 팔로 대각선 아래로 당긴다. 스매시 후 당기는 패턴과 견갑 하강을 보강한다.,75,row,로우,PRIMARY,1.12,PULL_HORIZONTAL,STRENGTH,"LAT,RHOMBOID,LOWER_TRAP,TRAPEZIUS,REAR_DELT,SCAPULAR_STABILIZERS,CORE",DEEP_CORE,CABLE,CABLE,COMPOUND,PULL,UPPER,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,SCAPULAR_STABILITY",,"TRUNK_CONTROL_SUPPORT,SHOULDER_STABILITY_SUPPORT",SHOULDER_CARE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,OVERHEAD_REPETITION","UPPER_PULL,SHOULDER_OVERHEAD","SHOULDER_ACCESSORY,ARM_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0.5,0,ESTIMATED_1RM,UPPER_PULL_HORIZONTAL,BACK,ROW,SHOULDER_CARE,YES,YES,SUPPORTIVE,NONE,SHOULDER_DURABILITY,,HIGH,LOW,"UPPER_PULL,UNILATERAL_UPPER,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_421ba24b,좌우 랜덤 콕줍기,기능성운동,좌우이동/랜덤반응/방향전환/감속,셔틀콕/코트,시간 또는 반복,"좌우 방향을 무작위로 오가며 셔틀콕을 줍는다. 사이드 스텝, 런지 감속, 중앙 복귀 리듬을 강화한다.",60,badminton_footwork,badminton footwork,PRIMARY,1,FOOTWORK,REACTIVE,CORE,DEEP_CORE,CONE_MARKER,CONE_MARKER,DRILL,ACCELERATE,TRUNK,MULTI_PLANAR,UNILATERAL,NONE,,"BADMINTON_FOOTWORK,CHANGE_OF_DIRECTION,COURT_CONDITIONING","DECELERATION_SUPPORT,COD_SUPPORT,BADMINTON_SUPPORT_LIGHT","FOOTWORK,REACTION,DECELERATION,CONDITIONING","SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE,DECELERATION","BADMINTON_COURT,DECELERATION","LEG_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,LONG,0.5,0.5,0.75,0.5,0.75,0,0,0,0,0,QUALITY_BASED,BADMINTON_TEST,CORE,NONE,BADMINTON_SUPPORT,NO,NO,DIRECT,"MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,LATERAL_MOVE,RECOVERY_STEP","FOOTWORK_SPEED,FIRST_STEP_REACTION,DECELERATION_CONTROL,CONDITIONING","KNEE,ANKLE_ACHILLES",HIGH,LOW,"UNILATERAL_LOWER,ANKLE_STIFFNESS","FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_4255e429,앞뒤 랜덤 콕줍기,기능성운동,전후이동/랜덤반응/가속/감속,셔틀콕/코트,시간 또는 반복,앞코트와 뒤코트 방향을 무작위로 오가며 셔틀콕을 줍는다. 네트 대시와 후방 회복의 첫 발 반응을 훈련한다.,60,badminton_footwork,badminton footwork,PRIMARY,1,FOOTWORK,REACTIVE,CORE,DEEP_CORE,CONE_MARKER,CONE_MARKER,DRILL,ACCELERATE,TRUNK,MULTI_PLANAR,UNILATERAL,NONE,,"BADMINTON_FOOTWORK,CHANGE_OF_DIRECTION,COURT_CONDITIONING","DECELERATION_SUPPORT,BADMINTON_SUPPORT_LIGHT","FOOTWORK,REACTION,DECELERATION,CONDITIONING","SYSTEMIC,NEURAL_HEAVY,NEURAL_SPEED,LOCAL_MUSCLE,DECELERATION","BADMINTON_COURT,DECELERATION",,MODERATE_LOAD,LONG,0.5,0.5,0.75,0.5,0.75,0,0,0,0,0,QUALITY_BASED,BADMINTON_TEST,CORE,NONE,BADMINTON_SUPPORT,NO,NO,DIRECT,"MULTI_DIRECTION,FIRST_STEP,REACTION_RANDOM,DECELERATION,RECOVERY_STEP","FOOTWORK_SPEED,FIRST_STEP_REACTION,DECELERATION_CONTROL,CONDITIONING","KNEE,ANKLE_ACHILLES",HIGH,LOW,"UNILATERAL_LOWER,ANKLE_STIFFNESS","FATIGUE,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_442617f6,원암 케이블 플라이,근력운동,대흉근,전면삼각근/코어,"케이블, 한팔 무게*횟수",케이블을 한 팔씩 몸 앞쪽으로 모은다. 몸통 회전을 억제하면서 가슴 수축과 좌우 차이를 따로 본다.,60,원암_케이블_플라이,원암 케이블 플라이,PRIMARY,1,ANTI_ROTATION,HYPERTROPHY,"CHEST,ANTERIOR_DELTOID,CORE,OBLIQUE",DEEP_CORE,CABLE,CABLE,HYBRID,BRACE,UPPER,TRANSVERSE,UNILATERAL,NONE,"CORE_STABILITY,ANTI_ROTATION,TRUNK_CONTROL",,TRUNK_CONTROL_SUPPORT,ANTI_ROTATION_STABILITY,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,ANTI_ROTATION",ANTI_ROTATION,"ARM_ACCESSORY,CHEST_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,MEDIUM,0.5,0.5,0,0.75,0,0,0,0.75,0,0,VOLUME_LOAD,CORE,CHEST,NONE,CORE_STABILITY,NO,YES,SUPPORTIVE,NONE,ANTI_ROTATION_STABILITY,SHOULDER,HIGH,LOW,"ANTI_ROTATION,UNILATERAL_LOWER","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_462c760e,체스트 서포티드 원암 머신 로우,근력운동,광배근/능형근,후면삼각근/이두근,"인클라인 벤치/덤벨 또는 머신, 한팔 무게*횟수",가슴을 머신 패드에 지지하고 한 팔씩 당긴다. 허리 반동을 줄이고 등 수축과 좌우 차이를 기록한다.,75,bench_press,벤치프레스,PRIMARY,1.22,PULL_HORIZONTAL,STRENGTH,LAT,"BICEPS,FOREARM",MACHINE,MACHINE,COMPOUND,PULL,UPPER,TRANSVERSE,UNILATERAL,NONE,,,TRUNK_CONTROL_SUPPORT,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE,GRIP_FOREARM","UPPER_PULL,GRIP_FOREARM","ARM_ACCESSORY,CHEST_ACCESSORY,BACK_ACCESSORY,HYPERTROPHY_ACCESSORY",MODERATE_LOAD,SHORT,0.5,0.5,0,0.5,0,0,0,0,0,0.5,ESTIMATED_1RM,UPPER_PULL_HORIZONTAL,BACK,ROW,UPPER_PULL_ACCESSORY,YES,YES,NONE,NONE,NONE,,HIGH,LOW,"UPPER_PULL,UNILATERAL_UPPER,SCAPULAR_STABILITY","FATIGUE,STRENGTH_PROGRESS,BALANCE",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
ex_4773b6ea,린단 참고 트랙 스프린트,기능성운동,가속/최고속도/하체파워,트랙,거리 또는 시간,린단의 트랙 스프린트 훈련 보도를 참고한 항목이다. 짧은 질주와 충분한 휴식으로 폭발적 이동 속도를 기른다.,90,린단_참고_트랙_스프린트,린단 참고 트랙 스프린트,PRIMARY,1,ISOLATION,STABILITY,CORE,DEEP_CORE,CONE_MARKER,CONE_MARKER,ISOLATION,BRACE,TRUNK,SAGITTAL,BILATERAL,NONE,,,,NONE,"SYSTEMIC,NEURAL_HEAVY,LOCAL_MUSCLE",RECOVERY_LOW_LOAD,,MODERATE_LOAD,MEDIUM,0.25,0.25,0,0.75,0,0,0,0,0,0,VOLUME_LOAD,NONE,CORE,NONE,NONE,NO,YES,NONE,NONE,NONE,,LOW,LOW,,"FATIGUE,HYPERTROPHY_VOLUME",TRAINING_EXERCISE,PROGRAM_SELECTABLE,HIGH,,YES,,NO,NO
