decision_id,source_name,source_stable_key,requested_action,requested_canonical_name,requested_canonical_stable_key,source_active_in_catalog,source_present_in_legacy_map,target_active_in_catalog,target_name_correct,target_stable_key_correct,description_correct,equipment_correct,primary_muscles_correct,secondary_muscles_correct,movement_pattern_correct,movement_category_correct,force_type_correct,body_region_correct,laterality_correct,plane_correct,training_role_correct,sport_transfer_correct,load_profile_correct,default_rest_correct,tissue_action_correct,tissue_profile_correct,image_mapping_correct,program_seed_references_correct,runtime_program_rules_correct,backup_export_correct,legacy_import_mapping_correct,migration_mapping_correct,protocol_documentation_correct,implementation_status,discrepancy,required_correction,evidence_file,evidence_symbol_or_row
D01,B-스탠스 RDL | 킥스탠스 RDL | 싱글 레그 RDL | 원레그 RDL,ex_201f6426 | ex_885b629 | imported_싱글_레그_rdl | single_leg_rdl,MERGE,원레그 루마니안 데드리프트,single_leg_rdl,YES: no obsolete source identity active,YES: 3 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D01; target=single_leg_rdl; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D12,메디신볼 로테이셔널 스로우 | 메디신볼 사이드 스로우,medicine_ball_rotational_throw | med_ball_side_throw,MERGE_RENAME,메디신볼 회전 옆으로 던지기,medicine_ball_rotational_throw,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D12; target=medicine_ball_rotational_throw; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D13,메디신볼 로테이셔널 슬램 | 메디신볼 사이드 슬램,med_ball_rotational_slam | medicine_ball_side_slam,MERGE_RENAME,메디신볼 회전 아래로 슬램,med_ball_rotational_slam,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D13; target=med_ball_rotational_slam; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D14,원암 하프 닐링 프레스 | 하프 닐링 원암 프레스 | 하프 닐링 케틀벨 원암 프레스 | 하프 닐링 케틀벨 프레스 | 하프 닐링 프레스,ex_8380d7fe | ex_8e1b313e | ex_d79824d2 | ex_e0759156 | ex_66e8c8c2,SPLIT,하프 닐링 원암 덤벨 프레스 | 하프 닐링 원암 케틀벨 프레스,half_kneeling_single_arm_dumbbell_press | half_kneeling_single_arm_kettlebell_press,YES: no obsolete source identity active,YES: 5 required source rule(s),YES: 2 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D14; target=half_kneeling_single_arm_dumbbell_press | half_kneeling_single_arm_kettlebell_press; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D15,루마니안 데드리프트 | 덤벨 루마니안 데드리프트,ex_d2bb7946 | ex_9523db82,SPLIT,루마니안 바벨 데드리프트 | 루마니안 덤벨 데드리프트,barbell_romanian_deadlift | dumbbell_romanian_deadlift,YES: no obsolete source identity active,YES: 2 required source rule(s),YES: 2 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D15; target=barbell_romanian_deadlift | dumbbell_romanian_deadlift; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D16,케이블 원암 트라이셉스 익스텐션,ex_eb636bac,RENAME_REDEFINE,원암 케이블 오버헤드 트라이셉스 익스텐션,ex_eb636bac,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D16; target=ex_eb636bac; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D17,원암 케이블 트라이셉스 푸시다운,ex_5322f2d1,KEEP,원암 케이블 트라이셉스 푸시다운,ex_5322f2d1,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D17; target=ex_5322f2d1; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D18,원암 로우,ex_e3487166,DELETE,,,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 0 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D18; target=DELETE; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D19,체스트 서포티드 원암 로우,ex_462c760e,RENAME_REDEFINE,체스트 서포티드 원암 머신 로우,ex_462c760e,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D19; target=ex_462c760e; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D20,래터럴 바운드,imported_래터럴_바운드,DELETE_RECREATE,래터럴 바운드,lateral_bound_continuous,YES: no obsolete source identity active,YES: 1 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D20; target=lateral_bound_continuous; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D21,래터럴 바운드 투 스틱,ex_34e7d21,KEEP,래터럴 바운드 투 스틱,ex_34e7d21,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D21; target=ex_34e7d21; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D22,CSV 복원 계획 | CSV 복원 근력운동 | CSV 복원 기능성운동 | CSV 복원 스포츠,imported_csv_복원_계획 | imported_csv_복원_근력운동 | imported_csv_복원_기능성운동 | imported_csv_복원_스포츠,DELETE,,,YES: no obsolete source identity active,YES: 4 required source rule(s),YES: 0 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D22; target=DELETE; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D23,싱글 레그 레그 익스텐션,ex_d60745b4,RENAME,원레그 레그 익스텐션,ex_d60745b4,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D23; target=ex_d60745b4; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D24,싱글 레그 레그 컬,ex_8824026f,RENAME,원레그 레그 컬,ex_8824026f,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D24; target=ex_8824026f; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D25,싱글 레그 박스 스쿼트,ex_85f12271,RENAME,원레그 박스 스쿼트,ex_85f12271,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D25; target=ex_85f12271; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
D26,싱글 레그 카프 레이즈,ex_5ca7133f,RENAME,원레그 카프 레이즈,ex_5ca7133f,YES: no obsolete source identity active,YES: 0 required source rule(s),YES: 1 target(s) exactly once,YES,YES,YES,YES: approved Korean-to-repository enum mapping,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES: tissue action and metadata provenance exact,YES: target authority rows unique by load unit,YES: stableKey-first mapping or no declared mapping,YES: all 753 program-item keys valid,YES,YES: format 8 stableKey-only identity,YES: explicit import-only exact rules,YES: exact mapping or structured ambiguity,YES,PASS_WITH_JUSTIFIED_REPOSITORY_ENUM_MAPPING,NONE,NONE,app/src/main/assets/training_settings_seed.csv; app/src/main/assets/metadata/canonical_exercise_metadata_v0_3_5_0_pass3_1.csv; app/src/main/assets/exercise_legacy_import_map.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_index_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_protocols_v1.csv; app/src/main/assets/metadata/tissue_load_v1/tissue_rcv_exercise_load_unit_authority_v1.csv; app/src/main/java/com/training/trackplanner/data/ExerciseStableKeyMigration.kt,decision=D26; target=ex_5ca7133f; ExerciseMigrationKeyPolicy; LegacyExerciseImportMapper.resolve; RecordCsvBackupRestore format=8
