"exerciseName","stableKey","movementFamily","movementSubtype","programSlot","backfillDecision","decisionBasis","decisionReason","missingStressFieldsBefore","changedStressFields","missingStressFieldsAfter","primaryStressProfile","recoveryDecayProfile","stressMagnitudeHint","safeForSeedMutation"
"덤벨 컬","ex_281347da","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DUMBBELL_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"덤벨 킥백","ex_da56a4fe","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","DUMBBELL_KICKBACK","TRICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"덤벨 프로네이션/수피네이션","ex_f6703b06","FOREARM_GRIP_ACCESSORY","PRONATION_SUPINATION","FOREARM_GRIP_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"등받이 없는 덤벨 시티드 숄더프레스","ex_bb4b4276","OVERHEAD_PRESS_VARIANTS","SEATED_UNSUPPORTED_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"디클라인 푸시업","ex_fb67af37","PUSH_UP_VARIANTS","DECLINE_PUSH_UP","UPPER_PUSH_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Bodyweight horizontal-push family.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","BODYWEIGHT_PUSH_STRESS","SHORT","LOW","NO"
"딥스","ex_6463edad","DIP_COMPOUND_PUSH_VARIANTS","COMPOUND_DIP","UPPER_PUSH_COMPOUND","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Compound dip carries moderate shoulder-extension and triceps stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","DIP_PUSH_STRESS","MEDIUM","HIGH","NO"
"라잉 트라이셉스 익스텐션","ex_d20b7487","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","LYING_TRICEPS_EXTENSION","TRICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"레그 익스텐션","ex_b78a8f95","KNEE_EXTENSION_QUAD_ISOLATION","LEG_EXTENSION","QUAD_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"레그 컬","ex_2822ec2e","HAMSTRING_CURL_VARIANTS","","HAMSTRING_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"레그 프레스","ex_ab468462","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","","MACHINE_LOWER_BODY_STRENGTH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Machine knee-dominant lower-body stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","MACHINE_LOWER_BODY_STRESS","MEDIUM","MODERATE","NO"
"로프 해머 컬","ex_c1a81cb2","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ROPE_HAMMER_CURL","BRACHIALIS_FOREARM_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"리닝 래터럴 레이즈","ex_70f19bf","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","LEANING_LATERAL_RAISE","SHOULDER_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"리버스 리스트 컬","ex_8e18b02a","FOREARM_GRIP_ACCESSORY","REVERSE_WRIST_CURL","FOREARM_GRIP_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"리버스 컬","ex_dd2f732e","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","REVERSE_CURL","BRACHIALIS_FOREARM_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"리어델트 케이블 플라이","ex_7deabeba","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_CABLE_FLY","REAR_DELT_SCAPULAR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"리어델트 플라이","ex_7176cbee","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_FLY","REAR_DELT_SCAPULAR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"마운틴 클라이머","ex_a9b52886","BODYWEIGHT_CONDITIONING_CORE","MOUNTAIN_CLIMBER","CONDITIONING_CORE","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Dynamic anterior-core/conditioning pattern.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","DYNAMIC_CORE_FLEXION_STRESS","SHORT","MODERATE","NO"
"맨몸 스쿼트","ex_cb3c4dc2","SQUAT_VARIANTS","BODYWEIGHT_SQUAT","BODYWEIGHT_LOWER_PATTERN","DERIVED_FROM_PROGRAM_SLOT","programSlot+movementSubtype","Bodyweight/goblet knee-dominant pattern is kept below heavy axial stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","LOW_LOAD_PREHAB_CONTROL_STRESS","SHORT","LOW","NO"
"머신 숄더프레스","ex_4aa3725a","OVERHEAD_PRESS_VARIANTS","MACHINE_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+movementSubtype","Overhead push family; stability detail stays in secondary tags.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","OVERHEAD_PUSH_STRESS","MEDIUM","MODERATE","NO"
"머신 체스트프레스","ex_1dbee10e","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","MACHINE_CHEST_PRESS","HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"밴드 외회전","ex_e8ff8cfa","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","BAND_EXTERNAL_ROTATION","ROTATOR_CUFF_CARE","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Low-load control/prehab classification.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","LOW_LOAD_PREHAB_CONTROL_STRESS","SHORT","LOW","NO"
"버드독","ex_28347c1f","ANTI_ROTATION_ANTI_EXTENSION_CORE","","CORE_STABILITY_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily","Anti-rotation/anti-extension core family maps to isometric bracing.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOMETRIC_CORE_BRACING_STRESS","SHORT","LOW","NO"
"벤치프레스","barbell_bench_press","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","BARBELL_BENCH_PRESS","UPPER_PUSH_STRENGTH","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Horizontal press family with conservative upper-push stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","HORIZONTAL_PUSH_STRESS","MEDIUM","MODERATE","NO"
"슈퍼맨","ex_284ecca6","POSTERIOR_CHAIN_LOW_LOAD_CONTROL","SUPERMAN","POSTERIOR_CHAIN_CONTROL_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+programSlot","Low-load control/prehab classification.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","LOW_LOAD_PREHAB_CONTROL_STRESS","SHORT","LOW","NO"
"스탠딩 레그 컬","ex_b59bed7d","HAMSTRING_CURL_VARIANTS","","HAMSTRING_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"스트레이트암 풀다운","ex_ca5cce66","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","STRAIGHT_ARM_PULLDOWN","LAT_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"스파이더 컬","ex_516f4456","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","SPIDER_CURL","BICEPS_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
"싱글 레그 레그 익스텐션","ex_d60745b4","KNEE_EXTENSION_QUAD_ISOLATION","SINGLE_LEG_LEG_EXTENSION","QUAD_ISOLATION_ACCESSORY","DERIVED_FROM_MOVEMENT_FAMILY","movementFamily+proposedFatigueProfile","Ordinary isolation/accessory family with conservative local stress.","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","primaryStressProfile|secondaryStressTags|tendonStressTags|ligamentJointStabilityStressTags|jointImpactStressTags|cognitiveStressTags|sportContextTags|recoveryDecayProfile|stressMagnitudeHint","","ISOLATION_ACCESSORY_STRESS","SHORT","LOW","NO"
