"exerciseName","stableKey","movementFamily","decision","decisionBasis","decisionReason","changedFields","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","previousPlaceholder","safeForSeedMutation"
"런지","ex_64644b5e","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"레그 익스텐션","ex_b78a8f95","KNEE_EXTENSION_QUAD_ISOLATION","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"레그 컬","ex_2822ec2e","HAMSTRING_CURL_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"레그 프레스","ex_ab468462","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"로프 해머 컬","ex_c1a81cb2","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"루마니안 데드리프트","ex_d2bb7946","DEADLIFT_HINGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"리닝 래터럴 레이즈","ex_70f19bf","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"리버스 노르딕 컬","ex_8a3800f1","QUAD_ECCENTRIC_KNEE_DOMINANT_REVIEW","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"리버스 런지","ex_c8bcf3ce","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"리버스 리스트 컬","ex_8e18b02a","FOREARM_GRIP_ACCESSORY","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"리버스 컬","ex_dd2f732e","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"리어델트 케이블 플라이","ex_7deabeba","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"리어델트 플라이","ex_7176cbee","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"링 로우","ex_282a9d87","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"마운틴 클라이머","ex_a9b52886","BODYWEIGHT_CONDITIONING_CORE","DERIVED_GENERAL_CONDITIONING","movementFamily+programSlot","General conditioning supports capacity without badminton-specific transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_CONDITIONING_SUPPORTIVE","RALLY_TOLERANCE","AEROBIC_BASE|ANAEROBIC_REPEATABILITY","LOW","NONE","NO"
"맨몸 스쿼트","ex_cb3c4dc2","SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"머신 숄더프레스","ex_4aa3725a","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"머신 체스트프레스","ex_1dbee10e","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"메도우즈 로우","ex_f459ad2a","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"바벨 로우","ex_de46b7f6","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"밴드 외회전","ex_e8ff8cfa","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"버드독","ex_28347c1f","ANTI_ROTATION_ANTI_EXTENSION_CORE","DERIVED_SUPPORTIVE_CORE","movementFamily+primaryStressProfile","Core bracing/stability family has a plausible supportive pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","CORE_STABILITY_SUPPORTIVE","CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE","CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","MEDIUM","NONE","NO"
"벤치 딥스","ex_deca2b61","DIP_TRICEPS_PUSH_REVIEW","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"벤치프레스","barbell_bench_press","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"슈퍼맨","ex_284ecca6","POSTERIOR_CHAIN_LOW_LOAD_CONTROL","DERIVED_SUPPORTIVE_CORE","movementFamily+primaryStressProfile","Core bracing/stability family has a plausible supportive pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","CORE_STABILITY_SUPPORTIVE","CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE","CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","MEDIUM","NONE","NO"
"스미스 머신 런지","ex_1052e9fa","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"스미스 머신 스쿼트","ex_fa3416f6","SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"스캡 풀업","ex_e1894690","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"스쿼트","barbell_back_squat","SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
