"Group","SidecarField","CandidateField","CurrentAppTarget","IncludeInCandidate","IncludeInRuntimeSeed","Normalization","RecommendedVersion","Notes"
"SEED_CANDIDATE","badmintonTransferLevel","badmintonTransferLevel","Exercise.badmintonTransferStrength","YES","YES_AFTER_ENUM_MAPPING","183 blanks represent non-transfer rows","v0.3.5.0 seed patch candidate","Blank should normalize to NONE, not UNKNOWN."
"SEED_CANDIDATE","badmintonTransferType","badmintonTransferType","Exercise.badmintonTransferRoles (partial)","YES","AFTER_MAPPING","183 blanks","v0.3.5.0 metadata integration / recommendation mapping","Map compressed type to existing role tokens."
"SEED_CANDIDATE","badmintonSkillTargets","badmintonSkillTargets","Exercise.badmintonSkillTargets","YES","YES","183 blanks normalize to NONE","v0.3.5.0 seed patch candidate","Current analysis already reads this field."
"SEED_CANDIDATE","badmintonPhysicalQualities","badmintonPhysicalQualities","courtMovementTypes/balanceContributionTags (partial)","YES","AFTER_MAPPING","183 blanks","v0.3.5.0 metadata integration / recommendation mapping","Define explicit mapping to existing app fields."
"SEED_CANDIDATE","sourceConfidenceLevel","sourceConfidenceLevel","Exercise.metadataConfidence (different enum)","YES","YES_AFTER_ENUM_MAPPING","56 blanks + enum translation","v0.3.5.0 seed patch candidate","Backfill from reviewDebtDecision for non-source-review rows."
"SEED_CANDIDATE","finalSourceStatus","finalSourceStatus","Candidate manifest; optional runtime provenance","YES","OPTIONAL","56 blanks","v0.3.5.0 seed patch candidate","Backfill accepted statuses; do not infer seed safety."
"AUDIT_ONLY","proposalStatus","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","proposalReason","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","recommendedNextAction","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","notes","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","rowManualReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","templateMissingReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","stressReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sportSessionReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceOnlyReview","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","overbroadManualReview","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","safeForTemplateDefault","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","safeForSeedMutation","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","seedMutationPotential","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","reviewDebtDecision","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","reviewDebtReason","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","humanReviewQuestion","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceReviewKind","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","recommendedResolution","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","seedPatchReadiness","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","previousReviewDebtDecision","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceVerificationDecision","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceVerificationReason","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","sourceLimitationNote","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","humanSourceReviewRequired","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","humanSourceReviewQuestion","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","previousSourceReviewDebtDecision","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","decisionPackDomain","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","decisionPackStatus","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
"AUDIT_ONLY","decisionPackReason","EXCLUDE","NONE","NO","NO","N/A","later","Keep in audit/report artifacts only."
