resourceKey,korean,english,provenance
planning_summary_foundation_resistance,저항훈련 재진입,Resistance training re-entry,CODEX_GENERATED_ENGLISH
planning_summary_foundation_badminton,배드민턴 기초훈련,Foundational badminton training,CODEX_GENERATED_ENGLISH
planning_summary_attention,보완 후보로 확인,Identified for attention,CODEX_GENERATED_ENGLISH
planning_summary_optional_development,선택적 발달 후보,Optional development candidate,CODEX_GENERATED_ENGLISH
planning_summary_underrepresented,최근 노출이 상대적으로 부족,Relatively low recent exposure,CODEX_GENERATED_ENGLISH
planning_summary_absent,최근 노출 기록 없음,No recent exposure recorded,CODEX_GENERATED_ENGLISH
planning_summary_direct_drop,최근 직접 훈련 노출 감소,Recent direct training exposure dropped,CODEX_GENERATED_ENGLISH
planning_summary_limit_recovery,회복·훈련 소화 상태에 따른 제한이 반영됐습니다.,Recovery or workload-tolerance constraints were considered.,CODEX_GENERATED_ENGLISH
planning_summary_limit_tissue,연결조직 회복 상태에 따른 증량 제한이 있습니다.,Connective-tissue recovery limits load increases.,CODEX_GENERATED_ENGLISH
planning_summary_limit_unresolved_strength,고중량 선호가 확인되지 않은 임시 계획입니다.,Heavy-training preference remains unresolved.,CODEX_GENERATED_ENGLISH
planning_summary_limit_unresolved_badminton,배드민턴 계획 의도가 확인되지 않았습니다.,Badminton planning intent remains unresolved.,CODEX_GENERATED_ENGLISH
planning_summary_limit_starting_load,새 운동의 시작 중량은 RPE로 확인하세요. 기계 중량을 프리웨이트 중량으로 변환하지 않습니다.,Check starting loads for new exercises using RPE. Machine loads are not converted to free-weight loads.,CODEX_GENERATED_ENGLISH
planning_summary_limit_court_load,일반 코트 부하는 회복 여유에 반영되며 목표별 훈련 자극과 구분됩니다.,General court load affects recovery capacity and is separate from objective-specific training exposure.,CODEX_GENERATED_ENGLISH
planning_summary_limit_session_time,회당 시간 한도: %1$d분,Session time limit: %1$d min,CODEX_GENERATED_ENGLISH
planning_summary_limit_scheduling,배치 제약으로 일부 수요가 남거나 추가 배정이 철회됐습니다.,Placement constraints left demand unmet or required expansion rollback.,CODEX_GENERATED_ENGLISH
planning_summary_limit_fatigue_warning,분할 배정에 높은 일별 피로도 주의사항이 있습니다.,Split allocation includes high daily fatigue cautions.,CODEX_GENERATED_ENGLISH
planning_summary_behavior_hypertrophy_dominant,근비대 중심,Hypertrophy dominant,CODEX_GENERATED_ENGLISH
planning_summary_behavior_strength_dominant,근력 중심,Strength dominant,CODEX_GENERATED_ENGLISH
planning_summary_behavior_mixed_strength_hypertrophy,근력·근비대 혼합,Mixed strength and hypertrophy,CODEX_GENERATED_ENGLISH
planning_summary_behavior_general_mixed,종합 혼합,General mixed,CODEX_GENERATED_ENGLISH
planning_summary_behavior_unknown,판단 보류,Undetermined,CODEX_GENERATED_ENGLISH
planning_summary_confidence_low,낮음,Low,CODEX_GENERATED_ENGLISH
planning_summary_confidence_moderate,보통,Moderate,CODEX_GENERATED_ENGLISH
planning_summary_confidence_high,높음,High,CODEX_GENERATED_ENGLISH
planning_summary_style_none,관찰된 근력 구성 없음,No strength style identified,CODEX_GENERATED_ENGLISH
planning_summary_style_top_set_hypertrophy,탑세트 근비대,Top-set hypertrophy,CODEX_GENERATED_ENGLISH
planning_summary_style_top_set_backoff,탑세트·백오프,Top set and back-off,CODEX_GENERATED_ENGLISH
planning_summary_style_straight_5x5,동일중량 5×5,Straight 5×5,CODEX_GENERATED_ENGLISH
planning_summary_style_straight_strength_sets,동일중량 근력 세트,Straight strength sets,CODEX_GENERATED_ENGLISH
planning_summary_style_madcow_like_hlm_ramping,Madcow형 강·약·중 램핑,Madcow-like H/L/M ramping,CODEX_GENERATED_ENGLISH
planning_summary_style_heavy_light_medium,강·약·중 구성,Heavy/light/medium,CODEX_GENERATED_ENGLISH
planning_summary_style_dup_like_undulating,주간 파동형,Daily undulating,CODEX_GENERATED_ENGLISH
planning_summary_style_unresolved,근력 구성 판단 보류,Strength style undetermined,CODEX_GENERATED_ENGLISH
planning_summary_movement_lower_knee,무릎 중심 하체,Knee-dominant lower body,CODEX_GENERATED_ENGLISH
planning_summary_movement_posterior_chain,후면 사슬,Posterior chain,CODEX_GENERATED_ENGLISH
planning_summary_movement_horizontal_push,수평 밀기,Horizontal push,CODEX_GENERATED_ENGLISH
planning_summary_movement_horizontal_pull,수평 당기기,Horizontal pull,CODEX_GENERATED_ENGLISH
planning_summary_movement_vertical_push,수직 밀기,Vertical push,CODEX_GENERATED_ENGLISH
planning_summary_movement_vertical_pull,수직 당기기,Vertical pull,CODEX_GENERATED_ENGLISH
planning_summary_movement_core_direct,코어 직접 훈련,Direct core training,CODEX_GENERATED_ENGLISH
planning_summary_movement_calves,종아리,Calves,CODEX_GENERATED_ENGLISH
planning_summary_movement_arms_biceps,상완 이두,Biceps,CODEX_GENERATED_ENGLISH
planning_summary_movement_arms_triceps,상완 삼두,Triceps,CODEX_GENERATED_ENGLISH
planning_summary_movement_other,기타 움직임,Other movement,CODEX_GENERATED_ENGLISH
planning_summary_objective_acceleration,가속,Acceleration,CODEX_GENERATED_ENGLISH
planning_summary_objective_deceleration,감속,Deceleration,CODEX_GENERATED_ENGLISH
planning_summary_objective_footwork,풋워크,Footwork,CODEX_GENERATED_ENGLISH
planning_summary_objective_jump_landing,점프·착지,Jump and landing,CODEX_GENERATED_ENGLISH
planning_summary_objective_lunge_reach,런지·리치,Lunge and reach,CODEX_GENERATED_ENGLISH
planning_summary_objective_reaction,반응,Reaction,CODEX_GENERATED_ENGLISH
planning_summary_objective_conditioning,컨디셔닝,Conditioning,CODEX_GENERATED_ENGLISH
planning_summary_objective_rotation_generation,회전 생성,Rotation generation,CODEX_GENERATED_ENGLISH
planning_summary_objective_anti_rotation,항회전,Anti-rotation,CODEX_GENERATED_ENGLISH
planning_summary_structure_preserve,구성 유지,Structure retained,CODEX_GENERATED_ENGLISH
planning_summary_structure_preserve_core_rebalance,핵심 유지·재배분,Core retained and rebalanced,CODEX_GENERATED_ENGLISH
planning_summary_structure_partial_continuity,부분 연속성,Partial continuity,CODEX_GENERATED_ENGLISH
planning_summary_structure_rotate_emphasis,강조점 전환,Emphasis rotated,CODEX_GENERATED_ENGLISH
planning_summary_dose_maintain,용량 유지,Volume maintained,CODEX_GENERATED_ENGLISH
planning_summary_dose_reduce_slightly,용량 소폭 감소,Volume reduced slightly,CODEX_GENERATED_ENGLISH
planning_summary_dose_reduce_moderately,용량 중간 감소,Volume reduced moderately,CODEX_GENERATED_ENGLISH
daily_check_in_joint_complex_clear,선택 지우기,Clear selection,CODEX_GENERATED_ENGLISH
daily_check_in_joint_complex_label,관절/건 불편감 위치,Joint/tendon discomfort location,CODEX_GENERATED_ENGLISH
daily_check_in_joint_complex_none,위치 선택 안 함,No location selected,CODEX_GENERATED_ENGLISH
daily_check_in_joint_complex_title,불편한 위치 선택,Select the discomfort location,CODEX_GENERATED_ENGLISH
daily_check_in_summary_body_weight,몸무게 %1$skg,Body weight %1$s kg,CODEX_GENERATED_ENGLISH
daily_check_in_summary_discomfort,불편감 %1$d,Discomfort %1$d,CODEX_GENERATED_ENGLISH
daily_check_in_summary_empty,입력값 없음,No values entered,CODEX_GENERATED_ENGLISH
daily_check_in_summary_focus,집중/의욕 %1$d,Focus/motivation %1$d,CODEX_GENERATED_ENGLISH
daily_check_in_summary_lower_body_fatigue,하체 %1$d,Lower body %1$d,CODEX_GENERATED_ENGLISH
daily_check_in_summary_overall_fatigue,전신 %1$d,Overall %1$d,CODEX_GENERATED_ENGLISH
daily_check_in_summary_sleep,수면 %1$s시간,Sleep %1$s h,CODEX_GENERATED_ENGLISH
tissue_analysis_not_diagnosis,"이 점수는 훈련 참고용 상대 지표이며 정확한 조직 손상이나 부상 확률, 의학적 진단을 뜻하지 않습니다. 통증·불안정감 같은 실제 증상을 우선하세요.","This score is a relative training reference. It is not an estimate of tissue damage or injury probability, nor a medical diagnosis. Prioritize actual symptoms such as pain or instability.",CODEX_GENERATED_ENGLISH
tissue_analysis_unscoped_discomfort_warning,오늘 높은 관절/건 불편감이 입력되었습니다. 위치를 선택하지 않아 개별 조직 점수에는 적용하지 않았습니다.,"High joint/tendon discomfort was entered today. Because no location was selected, it was not applied to individual tissue scores.",CODEX_GENERATED_ENGLISH
"progression_program","프로그램","Program","CODEX_GENERATED_ENGLISH"
"progression_progression","진행 세션","Progression session","CODEX_GENERATED_ENGLISH"
"progression_settings","진행 세션","Progression session","CODEX_GENERATED_ENGLISH"
"progression_review","진행 연결 확인이 필요합니다. 저장·적용은 계속할 수 있습니다.","Progression links need review. You can still save and apply.","CODEX_GENERATED_ENGLISH"
"progression_auto","자동","Auto","CODEX_GENERATED_ENGLISH"
"progression_main","메인","Main","CODEX_GENERATED_ENGLISH"
"progression_assistance","보조","Assistance","CODEX_GENERATED_ENGLISH"
"progression_app","앱 기준","App criteria","CODEX_GENERATED_ENGLISH"
"progression_custom","내 기준","My criteria","CODEX_GENERATED_ENGLISH"
"progression_direct","직접 판단","Direct judgment","CODEX_GENERATED_ENGLISH"
"progression_off","끄기","Off","CODEX_GENERATED_ENGLISH"
"progression_link","진행 연결","Track link","CODEX_GENERATED_ENGLISH"
"progression_existing","기존 진행 세션","Existing progression session","CODEX_GENERATED_ENGLISH"
"progression_separate","새 진행 세션","New progression session","CODEX_GENERATED_ENGLISH"
"progression_role","역할","Role","CODEX_GENERATED_ENGLISH"
"progression_mode","제안 기준","Suggestion mode","CODEX_GENERATED_ENGLISH"
"progression_save","저장","Save","CODEX_GENERATED_ENGLISH"
"progression_auto_connect","자동으로 연결","Connect automatically","CODEX_GENERATED_ENGLISH"
"progression_disconnected","연결하지 않음","Do not connect","CODEX_GENERATED_ENGLISH"
"progression_top_backoff","탑세트/백오프","Top set/back-off","CODEX_GENERATED_ENGLISH"
"progression_mixed_sets","혼합 세트","Mixed sets","CODEX_GENERATED_ENGLISH"
"progression_apply","제안 적용","Apply suggestion","CODEX_GENERATED_ENGLISH"
"progression_keep","현재 계획 유지","Keep current plan","CODEX_GENERATED_ENGLISH"
"progression_manual","직접 입력","Manual input","CODEX_GENERATED_ENGLISH"
"progression_use_previous","직전 수행 중량 사용","Use previous actual load","CODEX_GENERATED_ENGLISH"
"progression_previous","직전 실제","Previous actual","CODEX_GENERATED_ENGLISH"
"progression_current","현재 계획","Current plan","CODEX_GENERATED_ENGLISH"
"progression_suggested","제안","Suggestion","CODEX_GENERATED_ENGLISH"
"progression_delta","직전 실제 대비","Relative to previous actual","CODEX_GENERATED_ENGLISH"
"progression_pending","직전 같은 진행 세션 기준 제안 보기","Review suggestion from the previous comparable session","CODEX_GENERATED_ENGLISH"
"progression_rule_rpe","판단 RPE","Judgment RPE","CODEX_GENERATED_ENGLISH"
"progression_max_rpe","작업 세트 최대 RPE","Maximum working-set RPE","CODEX_GENERATED_ENGLISH"
"progression_anchor_rpe","기준 세트 RPE","Anchor-set RPE","CODEX_GENERATED_ENGLISH"
"progression_threshold","RPE 상한","RPE threshold","CODEX_GENERATED_ENGLISH"
"progression_successes","필요 연속 성공 수 (1–3)","Required consecutive successes (1–3)","CODEX_GENERATED_ENGLISH"
"progression_step","증량 kg (비우면 자동)","Increment kg (blank: automatic)","CODEX_GENERATED_ENGLISH"
"progression_completion","목표 세트·반복 완료 필요","Require target sets and reps completed","CODEX_GENERATED_ENGLISH"
"progression_yes","필요","Required","CODEX_GENERATED_ENGLISH"
"progression_no","완료 외 조건도 판단","Allow incomplete targets","CODEX_GENERATED_ENGLISH"
"progression_first_failure","첫 실패","First miss","CODEX_GENERATED_ENGLISH"
"progression_hold","유지","Hold","CODEX_GENERATED_ENGLISH"
"progression_review_action","검토","Review","CODEX_GENERATED_ENGLISH"
"progression_failures","감량 전 연속 실패 수 (2–5)","Consecutive misses before decrease (2–5)","CODEX_GENERATED_ENGLISH"
"progression_decrease","감량 비율 (%)","Decrease (%)","CODEX_GENERATED_ENGLISH"
"progression_missing","RPE 없을 때","Missing RPE","CODEX_GENERATED_ENGLISH"
"progression_completion_only","목표 완료만 판단","Use completion only","CODEX_GENERATED_ENGLISH"
"progression_snapshot","설정 변경은 다음 프로그램 적용부터 반영됩니다.","Settings changes affect the next program application.","CODEX_GENERATED_ENGLISH"
"progression_stale","기록이 바뀌었습니다. 최신 제안을 다시 확인하세요.","Evidence changed. Review the latest suggestion.","CODEX_GENERATED_ENGLISH"
"progression_unavailable","기록 부족·구조 확인 필요","Insufficient evidence or structure needs review","CODEX_GENERATED_ENGLISH"
"progression_step_note","실행 가능한 중량인지 확인하세요. 자동 반올림은 장비 단위 추정이 아닙니다.","Check that the load is executable. Automatic rounding does not infer equipment increments.","CODEX_GENERATED_ENGLISH"
"progression_reason_success","목표 완료 · 실제 RPE가 설정 범위 이내","Target completed; actual RPE within the configured limit","CODEX_GENERATED_ENGLISH"
"progression_reason_miss","직전 목표 미달: 첫 실패는 유지, 반복 실패는 감량 검토","Target missed: hold on the first miss, review reduction on repeated misses","CODEX_GENERATED_ENGLISH"
"progression_reason_rpe","실제 RPE가 없거나 상한을 초과하여 유지","Hold: actual RPE missing or above the threshold","CODEX_GENERATED_ENGLISH"
"progression_reason_local","관련 국소 조직 제한으로 증량 보류","Increase held due to related local tissue restriction","CODEX_GENERATED_ENGLISH"
"progression_reason_review","구조·증량 단위 또는 추가 수행 근거 확인 필요","Review structure, executable load step, or additional sessions","CODEX_GENERATED_ENGLISH"
"progression_increase","증량","Increase","CODEX_GENERATED_ENGLISH"
"progression_decrease_action","감량","Decrease","CODEX_GENERATED_ENGLISH"
"progression_edit_sets","기준 중량을 확정할 수 없습니다. 계획을 유지한 뒤 기록 화면에서 각 세트를 직접 수정해 주세요.","No unambiguous load base. Keep the plan, then edit individual sets in the record screen.","CODEX_GENERATED_ENGLISH"
"program_week_number","%1$d주","Week %1$d","CODEX_GENERATED_ENGLISH"
"program_week_compact","%1$d주","W%1$d","CODEX_GENERATED_ENGLISH"
"program_monday_compact","월","Mo","CODEX_GENERATED_ENGLISH"
"program_tuesday_compact","화","Tu","CODEX_GENERATED_ENGLISH"
"program_wednesday_compact","수","We","CODEX_GENERATED_ENGLISH"
"program_thursday_compact","목","Th","CODEX_GENERATED_ENGLISH"
"program_friday_compact","금","Fr","CODEX_GENERATED_ENGLISH"
"program_saturday_compact","토","Sa","CODEX_GENERATED_ENGLISH"
"program_sunday_compact","일","Su","CODEX_GENERATED_ENGLISH"
"program_week_training_days","%1$d주차 운동 요일","Week %1$d training days","CODEX_GENERATED_ENGLISH"
"program_days_per_week","주 %1$d일","%1$d days/week","CODEX_GENERATED_ENGLISH"
"program_minutes","%1$d분","%1$d min","CODEX_GENERATED_ENGLISH"
"program_unit_seconds","초","s","CODEX_GENERATED_ENGLISH"
"program_unit_kg","kg","kg","CODEX_GENERATED_ENGLISH"
"program_planning_summary","%1$d주 계획 · 주 %2$d일 · 신뢰도 %3$s","%1$d-week plan · %2$d days/week · confidence %3$s","CODEX_GENERATED_ENGLISH"
"program_anchor_transition_summary","%1$s: 관찰 %2$s · 다음 블록 %3$s · %4$s","%1$s: observed %2$s · next block %3$s · %4$s","CODEX_GENERATED_ENGLISH"
"program_scope_all","전체 주에 적용","Apply to all weeks","CODEX_GENERATED_ENGLISH"
"program_scope_week","주별 수정","Edit individual week","CODEX_GENERATED_ENGLISH"
"program_scope_diverged","주별 구성이 달라 주별 수정만 사용할 수 있습니다.","Weeks already differ; edit each week individually.","CODEX_GENERATED_ENGLISH"
"program_prescription_week_only","세트·반복·중량 수정은 %1$d주에만 적용됩니다.","Set, rep and load edits apply only to week %1$d.","CODEX_GENERATED_ENGLISH"
"program_move_up","위로","Move up","CODEX_GENERATED_ENGLISH"
"program_move_down","아래로","Move down","CODEX_GENERATED_ENGLISH"
